priority_tier,method,est_species_gain,batch,source_key,access_status,citation,url,what_is_locked,status_todo
1,A_BINARY_FILE,299,southasia,S-SA-SUPP3,open_pagination_blocked,Srinivasulu A et al. (2025). Bat echolocation in South Asia. J Threatened Taxa 17(11):27897-27931. Supplementary Material 3.,https://www.threatenedtaxa.org/index.php/JoTT/article/download/9550/10560,"OPEN ACCESS and partially fetched - my fetch truncated at ~1/3 of the 299-observation table (got through Hipposideridae). Remaining ~2/3 covers Megadermatidae, Miniopteridae, Molossidae, Rhinolophidae, Rhinopomatidae, Emballonuridae and most Vespertilionidae. Just needs a paginated or higher-limit fetch of the same open PDF. 86 species with data; only 18 currently have extracted numeric values.",ALREADY INGESTED srinivasulu-2025-southasia.csv
1,A_BINARY_FILE,266,africa,S-SSA-FIGSHARE,open_binary_blocked,Monadjem A et al. (2024). African bat database. Scientific Data 11:1309. Figshare deposit + GitHub mirror.,https://doi.org/10.6084/m9.figshare.26363308.v5,"266 sub-Saharan species, curated modern taxonomy. GitHub API was rate-limited and file paths 404'd during this project. Would supply the named African checklist that all six African batches currently lack - no African coverage audit exists without it. Mirror: github.com/kanead/Bat_database","FETCHED raw/africa_bat_db_v2.csv (18409 records, 312 spp) + raw/africa_bat_checklist.csv"
1,A_BINARY_FILE,222,colombia,S-CO-DWCA,open_binary_blocked,Ramirez-Chaves HE et al. (2025). Mamiferos de Colombia v1.14. SiB Colombia / GBIF checklist. doi:10.15472/kl1whs,https://ipt.biodiversidad.co/sib/archive.do?r=mamiferos_col,Darwin Core Archive ZIP. Colombia is the world's most bat-diverse country (222 species) and is the ONLY major region in this project with a known denominator but NO named species list - so no coverage audit exists for it. unzip + read the taxon.txt inside would fix that in minutes.,"FETCHED raw/colombia_dwca.zip -> raw/colombia_bat_checklist.csv (222 spp, matches expected)"
1,A_BINARY_FILE,135,eastasia,S-CN21,paywalled,"Lopez-Bosch D, Huang JCC, Wang Y, Palmeirim AF, Gibson L, Lopez-Baucells A (2021). Bat echolocation in continental China: a systematic review and first acoustic identification key for the country. Mammal Research 66(3):405-416. Correction: Mammal Research 66(3), 2021.",https://link.springer.com/article/10.1007/s13364-021-00570-x,"PAYWALLED - only abstract and references retrieved. Systematic review of 130 studies (1999-2020) yielding 64/135 species (47.4%) with published echolocation parameters; 71 species with none, 21 never described anywhere. Identification key covers 114/135 species (84.5%) to species or phonic-group level. FOUR SUPPLEMENTARY XLSX FILES ARE DIRECTLY LINKED AND CONFIRMED TO EXIST but are binary format unparseable by this pipeline's tools: Table S1 (https://media.springernature.com/original/springer-static/esm/art%3A10.1007%2Fs13364-021-00570-x/MediaObjects/13364_2021_570_MOESM1_ESM.xlsx, full China ",ALREADY INGESTED lopez-bosch-2021-china.csv
1,A_BINARY_FILE,87,mainlandSEA,S-VN24-TABLES1,open_binary_blocked,Gyorossy D et al. (2024). The calls of Vietnamese bats. Scientific Reports 14:23335. Supplementary Table S1.,https://www.nature.com/articles/s41598-024-72436-6,"Narrative text WAS fetched (88 species with call-type classification already ingested). The per-species QUANTITATIVE tables (Tables 1-8: mean+/-SD, min-max, n for FMAXE/SF/EF/HF/LF/BW/duration/IPI) are image/table objects. A directly linked downloadable Table S1 spreadsheet exists on the article page. Would add full numbers for 87 species.","FETCHED raw/vn24_TableS1.xlsx (1042 recordings, 90 spp) - METADATA ONLY, no numeric parameters"
1,A_BINARY_FILE,69,centralamerica,S-SONOZOTZ-DRYAD,open_binary_blocked,Zamora-Gutierrez V et al. (2020). Sonozotz project call library. Dryad deposit.,https://doi.org/10.5061/dryad.95x69p8g6,69 Mexican species with recordings and full metadata. The PAPER was fetched (species list + per-species sample sizes are already in mexico_sonozotz_species.csv) but ALL parameter values live in this Dryad deposit and the CONABIO Selia web app. Every one of the 69 species is currently value_exists_unretrieved. Would convert Mexico from a species list into a real dataset.,"FETCHED raw/sonozotz/Metadata_Sonozotz.xlsx (2323 recordings, 69 spp) - METADATA ONLY, no numeric parameters"
1,A_BINARY_FILE,46,europe,S-EUROBATRAIT,open_binary_blocked,"Froidevaux JSP, Toshkova N, et al. (2023). A species-level trait dataset of bats in Europe and beyond (EuroBaTrait 1.0). Scientific Data 10:253.",https://doi.org/10.6084/m9.figshare.21777161.v2,"THE single highest-value acquisition in the whole project. 14 acoustic-signature traits covering 46 of Europe's 47 species (98%), derived from 1,346,508 calls and 1,264 feeding buzzes via TADARIDA from the French Vigie-Chiro library. CC-BY. figshare blocked automated download. Would take Europe from 32/47 species measured to ~46/47 in one step. Also browsable at https://jasja.shinyapps.io/ClimBats/",ALREADY INGESTED eurobatrait-2023.csv
1,A_BINARY_FILE,16,southamerica_southerncone,S-AR25,paywalled,"Olmedo ML, Gonzalez Noschese CS, Perez MJ, Diaz MM (2026). Filling acoustic gaps: new insights into the echolocation calls of Argentine bats. Mammal Research 71:13. doi:10.1007/s13364-025-00829-7 (online 10 Dec 2025)",https://link.springer.com/article/10.1007/s13364-025-00829-7,"THE anchor source for Argentina and it is PAYWALLED (confirmed meta-access: No). 16 species, northeastern Argentina, 853 pulses, Echo Meter Touch 2, Raven Pro. Presents an ACOUSTIC IDENTIFICATION KEY for Argentine bats. Abstract-level findings (74.5% phyllostomid and 99% aerial-insectivore LDA accuracy) are captured here; ALL per-species numeric values are behind the paywall. SUPPLEMENTARY MATERIAL IS OPENLY HOSTED and was confirmed to exist: Supplementary 1 is a DOCX (likely the identification key) at https://media.springernature.com/original/springer-static/esm/art%3A10.1007%2Fs13364-025-008",PARTIAL raw/ar25_supp1.docx = sites + LDA matrices only; per-species values remain in paywalled body
2,B_BROWSER,29,caribbean,S-TT-PIO10,paywalled,"Pio DVV, Clarke FM, MacKie I, Racey PA (2010). Echolocation Calls of the Bats of Trinidad, West Indies: Is Guild Membership Reflected in Echolocation Signal Design? Acta Chiropterologica 12(1):217-229. doi:10.3161/150811010X504716",https://bioone.org/journals/acta-chiropterologica/volume-12/issue-1/150811010X504716/,"PAYWALLED at BioOne (confirmed: 'available to subscribers only, not available for individual sale' notice). 29 species across 5 families, 12 Phyllostomidae described for the first time, QDFA for 11 species individually and 6 guilds covering 26 species. LIKELY THE SINGLE RICHEST UNTAPPED CARIBBEAN SOURCE in this project - comparable in intended scope to the French Guiana (Barataud et al. 2013) and Vietnam (Gyorossy et al. 2024) flagship papers, but inaccessible where those were open. One real quantitative value (Chiroderma villosum: duration 1.4+/-0.3 ms, peak frequency 91.8+/-5.8 kHz) reached ","BLOCKED confirmed closed access (OpenAlex+Unpaywall) - paywalled, not bot-blocked"
2,B_BROWSER,22,africa_zambia,S-ZM25-SUPPL-2,open_browser_needed,"Taylor-Boyd H et al. (2025). Zambia call library, Supplementary Tables S1-S7.",https://repository.up.ac.za/bitstreams/6df10c46-443e-458d-89a8-be2dca1b5539/download,The MAIN paper was successfully fetched (5 VIF-selected parameters for 22 species already ingested). This supplementary PDF holds the FULL 20-parameter dataset for all 22 species plus DFA coefficients and the complete per-species LDA prediction summary. Would roughly quadruple parameter depth for Zambia.,ALREADY INGESTED taylor-boyd-2025.csv
2,B_BROWSER,15,africa_madagascar,S-MG09,open_but_unretrieved,"Kofoky AF, Randrianandrianina F, Russ J, Raharinantenaina I, Cardiff SG, Jenkins RKB, Racey PA (2009). Forest bats of Madagascar: results of acoustic surveys. Acta Chiropterologica 11(2):375-392. doi:10.3161/150811009X485602",https://bioone.org/journals/acta-chiropterologica/volume-11/issue-2/150811009X485602/,"ANCHOR SOURCE, BUT FULL TEXT NOT RETRIEVED. BioOne returned a bot-detection block (same as for the Zambia paper, where a University of Pretoria mirror rescued it - no equivalent mirror was found here) and ResearchGate returned HTTP 429 rate-limiting. 153 bats, 15 species, 3 families; five temporal/frequency variables; overall DFA classification 82.2%; six species described acoustically for the first time. ABSTRACT-LEVEL findings (call groups, DFA accuracy, first-description species) are HIGH confidence. The two partial numeric rows encoded here came from a fragmentary table extract in search r",BLOCKED confirmed closed access; existing kofoky-2009.csv stands
2,B_BROWSER,15,camena,S-IL-HACKETT17,open_manuscript_blocked,"Hackett TD, Holderied MW, Korine C (2017). Echolocation call description of 15 species of Middle-Eastern desert dwelling insectivorous bats. Bioacoustics 26(3):217-235.",https://research-information.bris.ac.uk/files/155451945/Acoustic_identification_of_bats_in_the_Arava_desert.pdf,"THE flagship source for this batch, and it is real and open: an author-accepted-manuscript PDF is hosted directly by the University of Bristol (947 downloads recorded on the repository page), cited repeatedly throughout this entire Asia tranche (Vietnam, China, Korea reviews all cite it). It could not be fetched this pass - the host returned a bot-detection block on direct retrieval, unlike the abstract/metadata page for the same record which fetched cleanly. 15 species, Arava rift valley, Israel. Abstract states a genuine structural finding: 4 species using 6 call types appear to actively sep",BLOCKED 403 Incapsula on the only OA copy; needs a real browser. DOI corrected to 10.1080/09524622.2016.1247386
