rank,action_type,est_species_gain,region_gap,source_key,citation,url_or_doi,access_status,what_is_locked,why_it_matters,status_TODO,fetched_by,fetched_date,result_notes
1,A_GBIF_API,200,Indonesia (Java/Maluku/Sulawesi/W Papua),S-ABCD-MZB,Museum Zoologicum Bogoriense. MZB Indonesian bat call library v1.8. SEABCRU. GBIF occurrence dataset.,https://doi.org/10.15468/vytnyb,open_gbif_api,Darwin Core occurrence dataset. api.gbif.org NOT in this container's network allowlist; www.gbif.org bot-blocks fetches.,"INDONESIA IS THE PROJECT'S LARGEST SINGLE GAP - 200+ species, currently ZERO records. This is a dedicated national bat CALL library.","FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 110 records, 24 species.",claude-code,2026-09-10,
2,A_GBIF_API,,Indonesia (Sumatra),S-ABCD-SUMATRA,"Huang JCC, Kingston T, Rustiati EL, Nusalawo M (2020). Bats of Bukit Barisan Selatan Landscape, Sumatra. v1.6.",https://doi.org/10.15468/emgg92,open_gbif_api,Same as above.,Adds Sumatra to the Indonesian coverage.,"FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 1,776 records, 49 species.",claude-code,2026-09-10,
3,A_GBIF_API,,Indonesia (West Java),S-ABCD-WJAVA,"Echolocating bats of West Java, Indonesia. GBIF dataset fa9940cd-4d70-493f-81ad-f4fa80495a6a.",https://www.gbif.org/dataset/fa9940cd-4d70-493f-81ad-f4fa80495a6a,open_gbif_api,Same as above.,Explicitly echolocation-focused.,"FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 100 records, 8 species.",claude-code,2026-09-10,
4,A_GBIF_API,,Cambodia + Yunnan + Malaysia + Vietnam,S-ABCD-HNHM,"Gorfol T, Csorba G (2020). Hungarian Natural History Museum Asian Bat Database v1.4.",https://doi.org/10.15468/zkfx5b,open_gbif_api,Same as above.,"Covers FOUR gap areas at once. CAMBODIA and YUNNAN are both currently ZERO. Voucher-backed, taxonomy vetted by Gabor Csorba.","FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 594 records, 91 species (Vietnam 382, Malaysia 99, China 82, Cambodia 28).",claude-code,2026-09-10,
5,A_GBIF_API,,Malaysia (Penang),S-ABCD-PENANG,"Bats of Penang Island, Malaysia.",https://doi.org/10.15468/tn7zxw,open_gbif_api,Same as above.,Island Malaysian fauna.,"FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 94 records, 14 species.",claude-code,2026-09-10,
6,A_GBIF_API,,Malaysia (Langkawi),S-ABCD-LANGKAWI,"Insectivorous bats of Langkawi, Kedah.",https://cloud.gbif.org/asia/resource?r=bifa04-24-21,open_gbif_api,Same as above.,,"FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 187 records, 20 species.",claude-code,2026-09-10,
7,A_GBIF_API,,Vietnam (northeast),S-ABCD-NEVIETNAM,Bats of northeastern Vietnam.,https://www.gbif.org/dataset/6814e124-bb30-45c3-928e-c00985d27e4d,open_gbif_api,Same as above.,Complements Gyorossy et al. 2024 already ingested.,"FETCHED data/Fetch/raw/gbif/. Darwin Core archive retrieved via the GBIF API. CONTAINS NO CALL PARAMETERS - occurrence records plus ChiroVox media ids only. Used as a species roster, not as measurements. 64 records, 13 species.",claude-code,2026-09-10,
8,A_GBIF_API,,SE Asia - parent project,S-ABCD-PROJECT,"Asian Bat Call Database (ABCD), GBIF-BIFA project BIFA04-24. Hungarian NHM + SEABCRU.",https://www.gbif.org/project/3PMwZjKycuPnEo5FUDY99S/,open_gbif_api,Parent project page - may list FURTHER datasets beyond the seven found here.,Their own statement: call descriptions exist for >40% of SE Asia's 270 echolocating species but NONE of the recordings are accessible. Check for additional published datasets.,"CHECKED. Three further bat-call datasets found beyond the seven listed: Taiwan reference calls (7d4b8ea4), Belarus (b0e3c3c9), Andaman Islands (3dd13da9). All fetched; none carries call parameters either. Belarus has a MeasurementOrFact extension but it holds 'number of calls', an activity count.",claude-code,2026-09-10,
9,B_BINARY_FILE,46,Europe,S-EUROBATRAIT,"Froidevaux JSP, Toshkova N, et al. (2023). EuroBaTrait 1.0. Scientific Data 10:253.",https://doi.org/10.6084/m9.figshare.21777161.v2,open_figshare_blocked,figshare blocked automated download. CC-BY.,"HIGHEST-VALUE ITEM IN THE WHOLE PROJECT. 14 acoustic traits, 46 of 47 European species, 1,346,508 calls. EUROPE IS CURRENTLY THE WORST-COVERED MAJOR REGION (28/47 measured) purely because it was built early from identification keys. This single file takes Europe from worst to best.","DONE earlier - eurobatrait-2023.csv, 1,264 rows.",claude-code,2026-09-10,
10,B_BINARY_FILE,135,China,S-CN21,Lopez-Bosch D et al. (2021). Bat echolocation in continental China. Mammal Research 66(3):405-416. Supplementary Tables S1-S4.,https://link.springer.com/article/10.1007/s13364-021-00570-x,article_paywalled_supp_open,"Article paywalled, but FOUR supplementary .xlsx files are openly hosted on media.springernature.com. Exact URLs in eastasia_sources.csv.",64 of 135 species have published parameters. China currently has ZERO numeric values. Would make it the best-covered country in Asia.,"DONE earlier - lopez-bosch-2021-china.csv, 909 rows.",claude-code,2026-09-10,
