observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
alobaid2026-1,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at As Saqeed Island, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,164,duration,mean,6.6,1.2,15.7,ms,sd,3.6,6.6 ± 3.6 (1.2-15.7),definition_unstated,"Table 2, Rhinopoma cystops at As Saqeed Island; reported n=164 calls."
alobaid2026-1,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at As Saqeed Island, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,164,end_frequency,mean,31.9,13.6,41.2,kHz,sd,6.9,31.9 ± 6.9 (13.6-41.2),definition_unstated,"Table 2, Rhinopoma cystops at As Saqeed Island; reported n=164 calls."
alobaid2026-1,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at As Saqeed Island, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,164,peak_frequency,mean,36.5,18.8,42.1,kHz,sd,5.5,36.5 ± 5.5 (18.8-42.1),definition_unstated,"Table 2, Rhinopoma cystops at As Saqeed Island; reported n=164 calls."
alobaid2026-1,1004770,Rhinopoma cystops,exact,al-obaid-2026-saudi,"Table 2, Rhinopoma cystops at As Saqeed Island, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,164,start_frequency,mean,38.4,35.1,42.1,kHz,sd,2.1,38.4 ± 2.1 (35.1-42.1),definition_unstated,"Table 2, Rhinopoma cystops at As Saqeed Island; reported n=164 calls."
alobaid2026-10,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Ben Rasheed cave, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Ben Rasheed cave,,,33,duration,mean,47.9,34,51.6,ms,sd,5.1,47.9 ± 5.1 (34-51.6),definition_unstated,"Table 4, Rhinolophus clivosus at Ben Rasheed cave; reported n=33 calls."
alobaid2026-10,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Ben Rasheed cave, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Ben Rasheed cave,,,33,end_frequency,mean,75.3,71.2,90.3,kHz,sd,4.4,75.3 ± 4.4 (71.2-90.3),definition_unstated,"Table 4, Rhinolophus clivosus at Ben Rasheed cave; reported n=33 calls."
alobaid2026-10,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Ben Rasheed cave, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Ben Rasheed cave,,,33,peak_frequency,mean,90.2,71.2,90.3,kHz,sd,0.3,90.2 ± 0.3 (71.2-90.3),definition_unstated,"Table 4, Rhinolophus clivosus at Ben Rasheed cave; reported n=33 calls."
alobaid2026-10,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Ben Rasheed cave, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Ben Rasheed cave,,,33,start_frequency,mean,81.7,74.7,90.3,kHz,sd,5.1,81.7 ± 5.1 (74.7-90.3),definition_unstated,"Table 4, Rhinolophus clivosus at Ben Rasheed cave; reported n=33 calls."
alobaid2026-11,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Bani Malik, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Bani Malik,,,177,duration,mean,22.2,10.0,38.5,ms,sd,7.2,22.2 ± 7.2 (10.0-38.5),definition_unstated,"Table 4, Rhinolophus clivosus at Bani Malik; reported n=177 calls."
alobaid2026-11,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Bani Malik, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Bani Malik,,,177,end_frequency,mean,82.7,71.4,95.2,kHz,sd,8.3,82.7 ± 8.3 (71.4-95.2),definition_unstated,"Table 4, Rhinolophus clivosus at Bani Malik; reported n=177 calls."
