observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-16b31a14ab1e85,1005202,Molossus molossus,exact,arevalo-cortes-2024,supplied worksheet record BAT00855 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,end_frequency,mean,24.35,,,kHz,sd,0.92,,24.35 +/- 0.92,ok,"Imported from MASTER_call_records.csv record BAT00855; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department."
mst-1cd97ea87dc3f7,1005202,Molossus molossus,exact,arevalo-cortes-2024,supplied worksheet record BAT00856 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,duration,mean,9.9,,,ms,sd,2.04,,9.9 +/- 2.04,ok,"Imported from MASTER_call_records.csv record BAT00856; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department."
mst-22c5cbb13fc5d5,1005424,Myotis keaysi,exact,arevalo-cortes-2024,supplied worksheet record BAT00842 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,start_frequency,mean,109.05,,,kHz,sd,2.35,,109.05 +/- 2.35,ok,"Imported from MASTER_call_records.csv record BAT00842; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. Rio Nambi Natural Reserve, Barbacoas. Highest F-start of the 4 species."
mst-23e97b93236f40,1005262,Tadarida brasiliensis,exact,arevalo-cortes-2024,supplied worksheet record BAT00859 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,end_frequency,mean,22.24,,,kHz,sd,1.64,,22.24 +/- 1.64,ok,"Imported from MASTER_call_records.csv record BAT00859; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department."
mst-2fd5ccee2241ea,1005262,Tadarida brasiliensis,exact,arevalo-cortes-2024,supplied worksheet record BAT00858 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,start_frequency,mean,30.3,,,kHz,sd,1.96,,30.3 +/- 1.96,ok,"Imported from MASTER_call_records.csv record BAT00858; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. Pilispi, Ricaurte. CF pulses, lowest slope at pulse end."
mst-32418e30b945b6,1005359,Myotis albescens,exact,arevalo-cortes-2024,supplied worksheet record BAT00848 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,duration,mean,2.51,,,ms,sd,0.28,,2.51 +/- 0.28,ok,"Imported from MASTER_call_records.csv record BAT00848; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department."
mst-3fa0865ed745a3,1004794,Saccopteryx bilineata,exact,arevalo-cortes-2024,supplied worksheet record BAT00869 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,inter_pulse_interval,mean,128.1,,,ms,sd,0.003,,128.1 +/- 0.003,ok,"Imported from MASTER_call_records.csv record BAT00869; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. FmaxE in the second harmonic, narrowband multiharmonic QCF, consistent with family pattern."
mst-3fdd4825cda9c2,1005256,Promops centralis,exact,arevalo-cortes-2024,supplied worksheet record BAT00862 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,11,start_frequency,mean,19.04,,,kHz,sd,1.31,,19.04 +/- 1.31,ok,"Imported from MASTER_call_records.csv record BAT00862; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. Briceno, Pasto. Low QCF; START lower than END (upward modulated) - distinctive, matches Jung 2014 and Froidevaux 2020 (French Guiana). NOT recorded in flight-room per welfare/validity concerns for open-space species."
mst-46ab1454daaf3c,1005574,Lasiurus blossevillii,exact,arevalo-cortes-2024,supplied worksheet record BAT00838 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,start_frequency,mean,63.77,,,kHz,sd,4.77,,63.77 +/- 4.77,ok,"Imported from MASTER_call_records.csv record BAT00838; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. San Antonio (El Penol), 1395 m."
mst-4eba5c61d71139,1004794,Saccopteryx bilineata,exact,arevalo-cortes-2024,supplied worksheet record BAT00866 (colombia),arevalo-cortes-2024-em3,unspecified,,,,free_flying_wild,,"Narino Department, SW Colombia (Andean + Pacific regions, 8-2668 m a.s.l.)",,,,10,start_frequency,mean,31.21,,,kHz,sd,0.21,,31.21 +/- 0.21,ok,"Imported from MASTER_call_records.csv record BAT00866; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Arevalo-Cortes et al. 2024, Mammal Research 69:231-244. Full text fetched. 81 free-flying sequences, Dec 2017-May 2020, Narino Department. Method: Echo Meter EM3, 250 kHz sampling, 10 sequences x 5 pulses per species, DFA classification accuracy 93.25%. Voucher specimens deposited (PSO-CZ). First records of M. riparius and L. blossevillii for Narino Department. Maragricola farm, Tumaco. NO frequency alternation observed across 10 sequences (contra Ratcliffe et al. 2011's report of alternating 45/48 kHz pulses) - attributed to foraging over open water rather than near a roost perch."
