observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-00db61c13b2876,1005560,Histiotus velatus,exact,arias-aguilar-2018,supplied worksheet record BAT01937 (southamerica_aa18_satr),arias-aguilar-2018-compiled,unspecified,,,,free_flying_wild,,"SA-WT | South America, warm temperate",,,,,peak_frequency,range,,15,25,kHz,,,,15-25,definition_unstated,"Imported from MASTER_call_records.csv record BAT01937; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Row tagged SA-Tr (South America, tropical) in Arias-Aguilar et al. 2018 Table 1-6. Reference numbers point to Appendix 1 of that paper, which was not itself retrieved, so the underlying primary citation is unresolved for every row here."
mst-0226bf70a688a8,1005197,Molossus coibensis,exact,arias-aguilar-2018,supplied worksheet record BAT00518 (centralamerica),arias-aguilar-2018-compiled,search,type II,type II,,free_flying_wild,,CA,,,,,peak_frequency,mean,39.7,,,kHz,sd,2.1,,39.7 +/- 2.1,ok,"Imported from MASTER_call_records.csv record BAT00518; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table, rows tagged CA-Tr (Central America, tropical) - i.e. recordings actually made in Central America, not merely of species that occur there."
mst-026f40b0f36410,1005202,Molossus molossus,exact,arias-aguilar-2018,supplied worksheet record BAT01900 (southamerica_aa18_satr),arias-aguilar-2018-compiled,unspecified,,,,free_flying_wild,,"SA-Tr | South America, tropical (Arias-Aguilar region code)",,,,,peak_frequency,mean,38.16,,,kHz,,,,38.16 35.72-40.76,definition_unstated,"Imported from MASTER_call_records.csv record BAT01900; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Row tagged SA-Tr (South America, tropical) in Arias-Aguilar et al. 2018 Table 1-6. Reference numbers point to Appendix 1 of that paper, which was not itself retrieved, so the underlying primary citation is unresolved for every row here."
mst-031b681aeff1e4,1004870,Noctilio albiventris,exact,arias-aguilar-2018,supplied worksheet record BAT00543 (centralamerica),arias-aguilar-2018-compiled,search,,,,free_flying_wild,,CA,,,,,peak_frequency,species_summary,70,,,kHz,,,,70,definition_unstated,"Imported from MASTER_call_records.csv record BAT00543; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table, rows tagged CA-Tr (Central America, tropical) - i.e. recordings actually made in Central America, not merely of species that occur there. CF-FM structure, FME on the fundamental."
mst-06af5df6621121,1005205,Molossus rufus,exact,arias-aguilar-2018,supplied worksheet record BAT00519 (centralamerica),arias-aguilar-2018-compiled,search,,,,free_flying_wild,,CA,,,,,peak_frequency,mean,27.2,,,kHz,sd,4.43,,27.2 +/- 4.43,ok,"Imported from MASTER_call_records.csv record BAT00519; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table, rows tagged CA-Tr (Central America, tropical) - i.e. recordings actually made in Central America, not merely of species that occur there."
mst-079806e57419c0,1005168,Cynomops greenhalli,exact,arias-aguilar-2018,supplied worksheet record BAT00527 (centralamerica),arias-aguilar-2018-compiled,search,,,,free_flying_wild,,CA,,,,,harmonic_emphasis,species_summary,1,,,count,,,,1,definition_unstated,"Imported from MASTER_call_records.csv record BAT00527; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_structure] | Molossid FME is on the fundamental. Long, shallow-modulated, low-frequency signals with irregular frequency alternation, variable amplitude and great plasticity."
mst-0b7bbea63a5097,1004779,Centronycteris centralis,exact,arias-aguilar-2018,supplied worksheet record BAT00461 (centralamerica),arias-aguilar-2018-compiled,search,,,,free_flying_wild,,CA,,,,,duration,mean,5.9,,,ms,sd,1.4,,5.9 +/- 1.4,ok,"Imported from MASTER_call_records.csv record BAT00461; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table, rows tagged CA-Tr (Central America, tropical) - i.e. recordings actually made in Central America, not merely of species that occur there."
mst-0c4173e5ce3636,1004791,Peropteryx trinitatis,exact,arias-aguilar-2018,supplied worksheet record BAT01871 (southamerica_aa18_satr),arias-aguilar-2018-compiled,unspecified,,,,free_flying_wild,,"SA-Tr | South America, tropical (Arias-Aguilar region code)",,,,,peak_frequency,species_summary,43.9,,,kHz,,,,43.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT01871; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Row tagged SA-Tr (South America, tropical) in Arias-Aguilar et al. 2018 Table 1-6. Reference numbers point to Appendix 1 of that paper, which was not itself retrieved, so the underlying primary citation is unresolved for every row here."
mst-0d9b609453d65d,1005280,Natalus tumidirostris,exact,arias-aguilar-2018,supplied worksheet record BAT02373 (southamerica_furipteridae_natalidae_thyropteridae),arias-aguilar-2018-compiled,unspecified,,,,free_flying_wild,,"SA-Tr | South America, tropical",,,,,peak_frequency,mean,120.2,,,kHz,sd,5.8,,120.2 +/- 5.8,ok,"Imported from MASTER_call_records.csv record BAT02373; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table 2 (Furipteridae/Natalidae/Thyropteridae), previously fetched but NOT MINED into batch 1 - this was an outright omission, now corrected. Reference numbers point to the paper's Appendix 1, not itself retrieved. N. tumidirostris does NOT occur in Brazil; included here only because the source uses it as a proxy for the acoustic profile of the Brazilian species N. macrourus, which the source could not otherwise describe."
mst-10887254ad8a4b,1004849,Furipterus horrens,exact,arias-aguilar-2018,supplied worksheet record BAT02369 (southamerica_furipteridae_natalidae_thyropteridae),arias-aguilar-2018-compiled,unspecified,steep FM description,steep FM description,,free_flying_wild,,"SA-Tr | South America, tropical",,,,,peak_frequency,mean,152,,,kHz,sd,9.6,,152 +/- 9.6,ok,"Imported from MASTER_call_records.csv record BAT02369; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | From Arias-Aguilar et al. 2018 Table 2 (Furipteridae/Natalidae/Thyropteridae), previously fetched but NOT MINED into batch 1 - this was an outright omission, now corrected. Reference numbers point to the paper's Appendix 1, not itself retrieved."
