observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-01b26631cac1f0,1004891,Anoura caudifera,manual,barataud-2013-guyane,supplied worksheet record BAT02420 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,12,peak_frequency,species_summary,44,,,kHz,,,1,44,definition_unstated,"Imported from MASTER_call_records.csv record BAT02420; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [HARMONIC NORMALISED: original trait 'fmaxE_fundamental_kHz'] Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative. Values in the source's bold type refer to the energy-richest component; this dataset records the dominant harmonic separately in the dominant_harmonic column."
mst-01b82ae5086928,1004979,Phylloderma stenops,exact,barataud-2013-guyane,supplied worksheet record BAT02492 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,22,bandwidth,species_summary,30,,,kHz,,,2,30,definition_unstated,"Imported from MASTER_call_records.csv record BAT02492; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative."
mst-03e45a5324a97e,1005574,Lasiurus blossevillii,exact,barataud-2013-guyane,supplied worksheet record BAT02636 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,50,peak_frequency,mean,45.5,,,kHz,sd,5.3,1,45.5 +/- 5.3,ok,"Imported from MASTER_call_records.csv record BAT02636; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [HARMONIC NORMALISED: original trait 'fmaxE_fundamental_kHz'] Barataud et al. 2013, Le Rhinolophe 19:103-145 (open PDF, full text fetched). Duration 12.3 +/- 2.5 ms, bandwidth 14.3 +/- 7.0 kHz, FC/total-duration ratio 24.7%. Vespertilionids share with molossids the trait of ALWAYS carrying energy on the fundamental (harmonics may be entirely absent)."
mst-04c13651bcc65a,1004853,Pteronotus davyi,exact,barataud-2013-guyane,supplied worksheet record BAT02415 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,81,cf_frequency,mean,71.5,,,kHz,sd,0.2,,71.5 +/- 0.2,ok,"Imported from MASTER_call_records.csv record BAT02415; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative. Sonar technology: spatial localisation. FC/total duration ratio 70.1%. Terminal-FC/total-FC ratio 26.7%. FME(FCt) minus terminal frequency = 4.3 kHz (near zero = truly flat FC, required for Doppler; non-zero = sloped). The paper proposes a ~75% FC/total-duration threshold below which Doppler use is compromised."
mst-05fcf45bbe1520,1004881,Diaemus youngi,exact,barataud-2013-guyane,supplied worksheet record BAT02457 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,30,bandwidth,species_summary,25,,,kHz,,,2,25,definition_unstated,"Imported from MASTER_call_records.csv record BAT02457; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative."
mst-0650e99d857b65,1005015,Artibeus planirostris,exact,barataud-2013-guyane,supplied worksheet record BAT02572 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,25,duration,species_summary,2.2,,,ms,,,3,2.2,definition_unstated,"Imported from MASTER_call_records.csv record BAT02572; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative. Dominant harmonic = H2."
mst-074e4e52c6a54e,1004977,Lophostoma schulzi,exact,barataud-2013-guyane,supplied worksheet record BAT02472 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,8,bandwidth,species_summary,12.5,,,kHz,,,2,12.5,definition_unstated,"Imported from MASTER_call_records.csv record BAT02472; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative."
mst-0837878c2c5633,1004881,Diaemus youngi,exact,barataud-2013-guyane,supplied worksheet record BAT02459 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,30,peak_frequency,species_summary,52,,,kHz,,,2,52,definition_unstated,"Imported from MASTER_call_records.csv record BAT02459; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [HARMONIC NORMALISED: original trait 'fmaxE_H1_kHz'] Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative. Values in the source's bold type refer to the energy-richest component; this dataset records the dominant harmonic separately in the dominant_harmonic column."
mst-08f7b47f6eb93b,1005172,Cynomops planirostris,exact,barataud-2013-guyane,supplied worksheet record BAT02651 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,8,peak_frequency,median,33.9,,,kHz,,,1,33.9 32.4-35.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT02651; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [HARMONIC NORMALISED: original trait 'fmaxE_fundamental_kHz'] [alternation_type=moyen] | Barataud et al. 2013, Le Rhinolophe 19:103-145 (open PDF, full text fetched). Duration median 10.0 ms (6.9-13.3). Molossids ALWAYS carry FME on the fundamental (harmonics often absent). Most species use a succession of two or three frequency-shifted signals in cruise or early approach - the frequency-alternation pattern documented across four continents in this project."
mst-09bab383b17e70,1004791,Peropteryx trinitatis,exact,barataud-2013-guyane,supplied worksheet record BAT02393 (southamerica_guianas),barataud-2013-guyane-unstated,unspecified,,,,unspecified,,French Guiana,,,,15,peak_frequency,median,43.9,,,kHz,,,2,43.9 42.1-43.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT02393; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [HARMONIC NORMALISED: original trait 'fmaxE_H1_kHz'] [alternation_type=mono] | Barataud, Giosa, Leblanc, Rufray, Disca, Tillon, Delaval, Haquart & Dewynter 2013, 'Identification et ecologie acoustique des chiropteres de Guyane francaise', Le Rhinolophe 19:103-145. OPEN PDF on the authors' own site, FULL TEXT AND ALL TABLES FETCHED. Time-expansion x10 recordings 2001-2011, Pettersson D1000X/D980/D240X, BatSound analysis. 2526 signals, 379 sequences, 80 species of French Guiana's 103. Method combines AUDITORY analysis (structure, sonority, energy distribution) with computer analysis - the auditory criteria are load-bearing, not decorative. Emballonurid FME is on HARMONIC 1 (rarely the fundamental in Rhynchonycteris naso). Value is the MEDIAN with min-max range. The paper calls this family 'a perfect example of acoustic niches within a taxonomic group: each species' sonar has certainly undergone character displacement to avoid interspecific overlap.'"
