observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
castro2024-1004554,1004554,Craseonycteris thonglongyai,exact,castro-2024,"Table 3, row 1",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,6.64,,,kHz,,,6.64,ok,
castro2024-1004554,1004554,Craseonycteris thonglongyai,exact,castro-2024,"Table 3, row 1",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,1.96,,,g,,,1.96,ok,
castro2024-1004554,1004554,Craseonycteris thonglongyai,exact,castro-2024,"Table 3, row 1",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,3.48,,,ms,,,3.48,ok,
castro2024-1004554,1004554,Craseonycteris thonglongyai,exact,castro-2024,"Table 3, row 1",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,oral,,,,,,oral,ok,
castro2024-1004554,1004554,Craseonycteris thonglongyai,exact,castro-2024,"Table 3, row 1",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,78.17,,,kHz,,,78.17,ok,
castro2024-1004559,1004559,Asellia tridens,exact,castro-2024,"Table 3, row 22",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,21.46,,,kHz,,,21.46,ok,
castro2024-1004559,1004559,Asellia tridens,exact,castro-2024,"Table 3, row 22",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,12.94,,,g,,,12.94,ok,
castro2024-1004559,1004559,Asellia tridens,exact,castro-2024,"Table 3, row 22",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,5.57,,,ms,,,5.57,ok,
castro2024-1004559,1004559,Asellia tridens,exact,castro-2024,"Table 3, row 22",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,nasal,,,,,,nasal,ok,
castro2024-1004559,1004559,Asellia tridens,exact,castro-2024,"Table 3, row 22",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,114.22,,,kHz,,,114.22,ok,
castro2024-1004561,1004561,Aselliscus stoliczkanus,exact,castro-2024,"Table 3, row 23",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,13.34,,,kHz,,,13.34,ok,
castro2024-1004561,1004561,Aselliscus stoliczkanus,exact,castro-2024,"Table 3, row 23",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,6.09,,,g,,,6.09,ok,
castro2024-1004561,1004561,Aselliscus stoliczkanus,exact,castro-2024,"Table 3, row 23",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,3.55,,,ms,,,3.55,ok,
castro2024-1004561,1004561,Aselliscus stoliczkanus,exact,castro-2024,"Table 3, row 23",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,nasal,,,,,,nasal,ok,
castro2024-1004561,1004561,Aselliscus stoliczkanus,exact,castro-2024,"Table 3, row 23",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,127.19,,,kHz,,,127.19,ok,
castro2024-1004562,1004562,Aselliscus tricuspidatus,exact,castro-2024,"Table 3, row 24",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,12.81,,,kHz,,,12.81,ok,
castro2024-1004562,1004562,Aselliscus tricuspidatus,exact,castro-2024,"Table 3, row 24",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,4.08,,,g,,,4.08,ok,
castro2024-1004562,1004562,Aselliscus tricuspidatus,exact,castro-2024,"Table 3, row 24",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,3.31,,,ms,,,3.31,ok,
castro2024-1004562,1004562,Aselliscus tricuspidatus,exact,castro-2024,"Table 3, row 24",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,nasal,,,,,,nasal,ok,
castro2024-1004562,1004562,Aselliscus tricuspidatus,exact,castro-2024,"Table 3, row 24",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,112.82,,,kHz,,,112.82,ok,
castro2024-1004571,1004571,Hipposideros semoni,exact,castro-2024,"Table 3, row 47",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,7.13,,,kHz,,,7.13,ok,
castro2024-1004571,1004571,Hipposideros semoni,exact,castro-2024,"Table 3, row 47",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,14,,,g,,,14,ok,
castro2024-1004571,1004571,Hipposideros semoni,exact,castro-2024,"Table 3, row 47",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,51.43,,,ms,,,51.43,ok,
castro2024-1004571,1004571,Hipposideros semoni,exact,castro-2024,"Table 3, row 47",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,nasal,,,,,,nasal,ok,
castro2024-1004571,1004571,Hipposideros semoni,exact,castro-2024,"Table 3, row 47",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,67.46,,,kHz,,,67.46,ok,
castro2024-1004572-stenotis,1004572,Doryrhina stenotis,manual,castro-2024,"Table 3, row 49",castro-2024-unstated,unspecified,,,,,,,,,,,bandwidth,single,5,,,kHz,,,5,ok,Printed in the source as a separate species; the current taxonomy treats it as Hipposideros stenotis.
castro2024-1004572-stenotis,1004572,Doryrhina stenotis,manual,castro-2024,"Table 3, row 49",castro-2024-unstated,unspecified,,,,,,,,,,,body_mass,single,12,,,g,,,12,ok,Printed in the source as a separate species; the current taxonomy treats it as Hipposideros stenotis.
castro2024-1004572-stenotis,1004572,Doryrhina stenotis,manual,castro-2024,"Table 3, row 49",castro-2024-unstated,unspecified,,,,,,,,,,,duration,single,20,,,ms,,,20,ok,Printed in the source as a separate species; the current taxonomy treats it as Hipposideros stenotis.
castro2024-1004572-stenotis,1004572,Doryrhina stenotis,manual,castro-2024,"Table 3, row 49",castro-2024-unstated,unspecified,,,,,,,,,,,emission,single,nasal,,,,,,nasal,ok,Printed in the source as a separate species; the current taxonomy treats it as Hipposideros stenotis.
castro2024-1004572-stenotis,1004572,Doryrhina stenotis,manual,castro-2024,"Table 3, row 49",castro-2024-unstated,unspecified,,,,,,,,,,,peak_frequency,single,103,,,kHz,,,103,ok,Printed in the source as a separate species; the current taxonomy treats it as Hipposideros stenotis.
