observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
collen2012-1004539,1004539,Rousettus aegyptiacus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,2,,,,,,2,ok,
collen2012-1004539,1004539,Rousettus aegyptiacus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,signal_type,single,broadband_click,,,,,,2,ok,"Read from Collen's call-shape class, whose definition states this directly."
collen2012-1004540,1004540,Rousettus amplexicaudatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,2,,,,,,2,ok,
collen2012-1004540,1004540,Rousettus amplexicaudatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,signal_type,single,broadband_click,,,,,,2,ok,"Read from Collen's call-shape class, whose definition states this directly."
collen2012-1004546,1004546,Rousettus spinalatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,2,,,,,,2,ok,
collen2012-1004546,1004546,Rousettus spinalatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,signal_type,single,broadband_click,,,,,,2,ok,"Read from Collen's call-shape class, whose definition states this directly."
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,bandwidth,species_summary,6.64,,,kHz,,,6.64,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,body_mass,species_summary,1.96,,,g,,,1.96,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,6,,,,,,6,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,dominant_slope,species_summary,0.82,,,kHz/msec,,,0.82,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,duration,species_summary,3.48,,,ms,,,3.48,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,max_frequency,species_summary,78.32,,,kHz,,,78.32,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,min_frequency,species_summary,71.67,,,kHz,,,71.67,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,peak_frequency,species_summary,78.17,,,kHz,,,78.17,ok,
collen2012-1004554,1004554,Craseonycteris thonglongyai,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,total_slope,species_summary,0.92,,,kHz/msec,,,0.92,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,bandwidth,species_summary,21.46,,,kHz,,,21.46,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,body_mass,species_summary,12.94,,,g,,,12.94,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,13,,,,,,13,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,dominant_slope,species_summary,0.39,,,kHz/msec,,,0.39,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,duration,species_summary,5.57,,,ms,,,5.57,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,max_frequency,species_summary,117.46,,,kHz,,,117.46,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,min_frequency,species_summary,96.09,,,kHz,,,96.09,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,peak_frequency,species_summary,114.22,,,kHz,,,114.22,ok,
collen2012-1004559,1004559,Asellia tridens,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,total_slope,species_summary,1.22,,,kHz/msec,,,1.22,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,bandwidth,species_summary,13.34,,,kHz,,,13.34,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,body_mass,species_summary,6.09,,,g,,,6.09,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,13,,,,,,13,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,dominant_slope,species_summary,0.19,,,kHz/msec,,,0.19,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,duration,species_summary,3.55,,,ms,,,3.55,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,max_frequency,species_summary,127.61,,,kHz,,,127.61,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,min_frequency,species_summary,114.25,,,kHz,,,114.25,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,peak_frequency,species_summary,127.19,,,kHz,,,127.19,ok,
collen2012-1004561,1004561,Aselliscus stoliczkanus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,total_slope,species_summary,0.17,,,kHz/msec,,,0.17,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,bandwidth,species_summary,12.81,,,kHz,,,12.81,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,body_mass,species_summary,4.08,,,g,,,4.08,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,call_shape_class,single,13,,,,,,13,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,dominant_slope,species_summary,0.08,,,kHz/msec,,,0.08,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,duration,species_summary,3.31,,,ms,,,3.31,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,max_frequency,species_summary,112.99,,,kHz,,,112.99,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,min_frequency,species_summary,100.10,,,kHz,,,100.10,ok,
collen2012-1004562,1004562,Aselliscus tricuspidatus,exact,collen-2012,"Appendix F, pp. 337-392",collen-2012-sonobat,unspecified,,,,,,,,,,,peak_frequency,species_summary,112.82,,,kHz,,,112.82,ok,
