observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-0f35f098dad493,1005623,Pipistrellus kuhlii,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00136 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Ain Rhziza | Tunisia,,,,143,end_frequency,mean,40.82,,,kHz,sd,1.75,,40.82 37.8-45.6 +/- 1.75,ok,"Imported from MASTER_call_records.csv record BAT00136; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean+desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi. PER-SITE breakdown for Pipistrellus kuhlii (Table 5). All five parameters differed significantly among the four sites (Kruskal-Wallis, all highly significant). Start frequency was higher at Ain Rhziza than elsewhere; FMAXE and end frequency differed among sites except between the two Bordj el Khadra sites."
mst-1172028620dbfb,1005623,Pipistrellus kuhlii,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00143 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Bordj el Khadra reed bed | Tunisia,,,,196,duration,mean,5.86,,,ms,sd,1.36,,5.86 4.0-11.0 +/- 1.36,ok,"Imported from MASTER_call_records.csv record BAT00143; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean+desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi. PER-SITE breakdown for Pipistrellus kuhlii (Table 5). All five parameters differed significantly among the four sites (Kruskal-Wallis, all highly significant). Start frequency was higher at Ain Rhziza than elsewhere; FMAXE and end frequency differed among sites except between the two Bordj el Khadra sites."
mst-13bd9632e0182a,1005267,Tadarida teniotis,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00102 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Tunisia,,,,11,duration,mean,14.25,,,ms,sd,2.06,,14.25 10.7-17.3 +/- 2.06,ok,"Imported from MASTER_call_records.csv record BAT00102; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi."
mst-19daf147d71e40,1005623,Pipistrellus kuhlii,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00130 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Oued Dkouk Nature Reserve | Tunisia,,,,541,start_frequency,mean,58.66,,,kHz,sd,11.02,,58.66 38.4-101.6 +/- 11.02,ok,"Imported from MASTER_call_records.csv record BAT00130; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean+desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi. PER-SITE breakdown for Pipistrellus kuhlii (Table 5). All five parameters differed significantly among the four sites (Kruskal-Wallis, all highly significant). Start frequency was higher at Ain Rhziza than elsewhere; FMAXE and end frequency differed among sites except between the two Bordj el Khadra sites."
mst-2b960de0003f9e,1005623,Pipistrellus kuhlii,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00109 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Tunisia,,,,1940,start_frequency,mean,59.6,,,kHz,sd,10.97,,59.6 39.7-101.6 +/- 10.97,ok,"Imported from MASTER_call_records.csv record BAT00109; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean+desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi."
mst-2c0127a546b9f9,1004827,Taphozous nudiventris,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00125 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Oued Dkouk Nature Reserve | Tunisia,,,,22,end_frequency,mean,22.42,,,kHz,sd,0.72,,22.42 21.7-23.6 +/- 0.72,ok,"Imported from MASTER_call_records.csv record BAT00125; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi. FIRST RECORD of this species in Tunisia, identified acoustically. FMAXE measured at the SECOND harmonic. 7 sequences, 22 signals. Cross-country comparison in the source: Jordan: 22.2. Near East: 22.8."
mst-2c0147e4a0dffe,1005666,Plecotus gaisleri,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00123 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Tunisia,,,,5,inter_pulse_interval,mean,135.3,,,ms,sd,42.12,,135.3 85.6-186.2 +/- 42.12,ok,"Imported from MASTER_call_records.csv record BAT00123; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi."
mst-2edcb1c05b35f8,1005666,Plecotus gaisleri,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00120 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Tunisia,,,,5,end_frequency,mean,20.06,,,kHz,sd,3.46,,20.06 15.7-24.3 +/- 3.46,ok,"Imported from MASTER_call_records.csv record BAT00120; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi."
mst-2feff7ff8e4557,1005524,Eptesicus isabellinus,manual,dalhoumi-2023-tunisia,supplied worksheet record BAT00104 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Tunisia,,,,109,start_frequency,mean,38.74,,,kHz,sd,8.21,,38.74 25.8-61.8 +/- 8.21,ok,"Imported from MASTER_call_records.csv record BAT00104; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi."
mst-30f5fd20f16989,1005623,Pipistrellus kuhlii,exact,dalhoumi-2023-tunisia,supplied worksheet record BAT00142 (africa_northafrica),dalhoumi-2023-tunisia-passive,unspecified,,,,unspecified,,Bordj el Khadra reed bed | Tunisia,,,,196,peak_frequency,mean,43.41,,,kHz,sd,1.53,,43.41 39.9-47.3 +/- 1.53,ok,"Imported from MASTER_call_records.csv record BAT00142; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [biogeo_affinity=Mediterranean+desert] | Dalhoumi, El Mokni, Ouni, Beyrem & Aulagnier 2023, Diversity 15(11):1108 (open access CC-BY, full text and all five tables fetched from MDPI). Tunisian Sahara, 14-20 May 2021, 8 sites, 5721 echolocation sequences. Batlogger M and Song Meter SM2+ at 384 kHz, PASSIVE recording (not hand-release), BatSound 3.10 analysis. Identifications by comparison with the unpublished Tunisian sound library of R. Dalhoumi. PER-SITE breakdown for Pipistrellus kuhlii (Table 5). All five parameters differed significantly among the four sites (Kruskal-Wallis, all highly significant). Start frequency was higher at Ain Rhziza than elsewhere; FMAXE and end frequency differed among sites except between the two Bordj el Khadra sites."
