observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-02ebb949a30d25,1005531,Eptesicus serotinus,synonym_via_mdd,fukui-2015-korea,supplied worksheet record BAT00955 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,29.7,31.6,kHz,,,,29.7-31.6,definition_unstated,"Imported from MASTER_call_records.csv record BAT00955; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. FM/QCF type; classified 100% by CDA."
mst-3ecdf1c274dcf0,1005671,Plecotus ognevi,exact,fukui-2015-korea,supplied worksheet record BAT00959 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,38.5,39.6,kHz,,,,38.5-39.6,definition_unstated,"Imported from MASTER_call_records.csv record BAT00959; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. Lowest PF of the 9 FM-type species in this study; classified 100% by CDA. Compare Pl. auritus: UK 29.9, Switzerland 37.7, Italy 33.1 kHz - East Asian Plecotus (recently split as Pl. ognevi) sits within the broader Palearctic genus range."
mst-46c7d980b7588f,1005341,Murina leucogaster,exact,fukui-2015-korea,supplied worksheet record BAT00961 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,45.7,67.9,kHz,,,,45.7-67.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT00961; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. Wide range reflects large intraspecific variation, also noted in Myotis species."
mst-54d4b5e002e077,1005713,Hypsugo alaschanicus,synonym_via_mdd,fukui-2015-korea,supplied worksheet record BAT00956 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,34,36.2,kHz,,,,34.0-36.2,definition_unstated,"Imported from MASTER_call_records.csv record BAT00956; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. FM/QCF type."
mst-775507ccb32c9d,1005420,Myotis ikonnikovi,exact,fukui-2015-korea,supplied worksheet record BAT00964 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,bandwidth,range,,56.8,92.9,kHz,,,,56.8-92.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT00964; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%."
mst-9442d8608f0705,1005111,Miniopterus fuliginosus,exact,fukui-2015-korea,supplied worksheet record BAT00957 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,50.3,54.2,kHz,,,,50.3-54.2,definition_unstated,"Imported from MASTER_call_records.csv record BAT00957; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. FM/QCF type; >90% CDA classification. Differs from Japanese population (47.2-49.8 kHz, Funakoshi 2010) - possible geographic variation, method not controlled."
mst-a0f201fdc39c3e,1005355,Murina ussuriensis,exact,fukui-2015-korea,supplied worksheet record BAT00960 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,70,82.9,kHz,,,,70.0-82.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT00960; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. Highest PF of the 9 FM-type species."
mst-a6523d7e6bc2b8,1004684,Rhinolophus ferrumequinum,exact,fukui-2015-korea,supplied worksheet record BAT00953 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,67.8,69.5,kHz,,,,67.8-69.5,definition_unstated,"Imported from MASTER_call_records.csv record BAT00953; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. Korean peninsula population."
mst-a8452ca20c9440,1004684,Rhinolophus ferrumequinum,exact,fukui-2015-korea,supplied worksheet record BAT00954 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,72,72,kHz,,,,72.0-72.0,definition_unstated,"Imported from MASTER_call_records.csv record BAT00954; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. Jeju Island population - significantly higher (p<0.05), attributed to island isolation effect, consistent with a similar pattern on Tsushima Island (Japan)."
mst-abea780f48fbd4,1005609,Pipistrellus abramus,synonym_via_mdd,fukui-2015-korea,supplied worksheet record BAT00958 (eastasia_korea),fukui-2015-korea-unstated,unspecified,,,,hand_release,,South Korea,,,,,peak_frequency,range,,47,48.1,kHz,,,,47.0-48.1,definition_unstated,"Imported from MASTER_call_records.csv record BAT00958; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Fukui, Hill, Kim & Han 2015, Animal Systematics Evolution and Diversity 31(3):160-175 (open access, full narrative text fetched). 93 individuals, 1129 pulses, 2011-2012, 14 of Korea's 21 known species. Values are the reported PEAK FREQUENCY RANGE across recording situations, taken from prose text (the full descriptive-statistics Appendix 1 table is an embedded image, not machine-readable text, so per-situation means/SDs are not individually captured here). CDA overall classification 76.4%; R. ferrumequinum, Plecotus ognevi and Eptesicus serotinus classified 100%; Myotis petax worst at 22.6%. FM/QCF type."
