observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
goodman-2011-miniopterus-egeri,1005108,Miniopterus egeri,exact,goodman-2011,"Table 4, M. egeri row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,2,16,peak_frequency,mean,54.7,53.2,56.3,kHz,sd,1.02,54.7 ± 1.02 (53.2–56.3),ok,"PF; archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-egeri,1005108,Miniopterus egeri,exact,goodman-2011,"Table 4, M. egeri row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,2,16,max_frequency,mean,113.8,107,123,kHz,sd,3.62,113.8 ± 3.62 (107.0–123.0),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-egeri,1005108,Miniopterus egeri,exact,goodman-2011,"Table 4, M. egeri row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,2,16,min_frequency,mean,49,48,50,kHz,sd,0.52,49.0 ± 0.52 (48.0–50.0),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-egeri,1005108,Miniopterus egeri,exact,goodman-2011,"Table 4, M. egeri row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,2,16,duration,mean,2.9,2.5,3.4,ms,sd,0.26,2.9 ± 0.26 (2.5–3.4),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-egeri,1005108,Miniopterus egeri,exact,goodman-2011,"Table 4, M. egeri row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,2,16,inter_pulse_interval,mean,62.6,43.2,81.1,ms,sd,12.57,62.6 ± 12.57 (43.2–81.1),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-petersoni,1005132,Miniopterus petersoni,exact,goodman-2011,"Table 4, M. petersoni row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,1,6,peak_frequency,mean,53.2,52,53.9,kHz,sd,0.75,53.2 ± 0.75 (52.0–53.9),ok,"PF; archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-petersoni,1005132,Miniopterus petersoni,exact,goodman-2011,"Table 4, M. petersoni row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,1,6,max_frequency,mean,106.5,95,115,kHz,sd,6.66,106.5 ± 6.66 (95.0–115.0),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-petersoni,1005132,Miniopterus petersoni,exact,goodman-2011,"Table 4, M. petersoni row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,1,6,min_frequency,mean,49,48,50,kHz,sd,0.63,49.0 ± 0.63 (48.0–50.0),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-petersoni,1005132,Miniopterus petersoni,exact,goodman-2011,"Table 4, M. petersoni row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,1,6,duration,mean,2.9,2.5,3.3,ms,sd,0.32,2.9 ± 0.32 (2.5–3.3),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
goodman-2011-miniopterus-petersoni,1005132,Miniopterus petersoni,exact,goodman-2011,"Table 4, M. petersoni row",goodman-2011-flight-cage,unspecified,flight cage,flight cage,,unspecified,,Madagascar,eastern Madagascar,,1,6,inter_pulse_interval,mean,71,63.8,76.7,ms,sd,4.63,71.0 ± 4.63 (63.8–76.7),ok,"Archived raw SHA-256 ca4b95d7675a4a584c64655246ee5e6014257df4bac5c60443f5fcc9f0a8da6d."
