observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
grunwald-2024-hipposideros-beatus,1004579,Hipposideros beatus,exact,grunwald-2024,"Table 4, Hipposideros beatus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,4,162,peak_frequency,mean,129.4,,,kHz,sd,4.0,129.4 ± 4.0,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-beatus,1004579,Hipposideros beatus,exact,grunwald-2024,"Table 4, Hipposideros beatus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,4,162,min_frequency,mean,114.3,,,kHz,sd,8.4,114.3 ± 8.4,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-beatus,1004579,Hipposideros beatus,exact,grunwald-2024,"Table 4, Hipposideros beatus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,4,162,max_frequency,mean,132.1,,,kHz,sd,4.5,132.1 ± 4.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-beatus,1004579,Hipposideros beatus,exact,grunwald-2024,"Table 4, Hipposideros beatus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,4,162,duration,mean,5.4,,,ms,sd,1.5,5.4 ± 1.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-curtus,1004590,Hipposideros curtus,exact,grunwald-2024,"Table 4, Hipposideros curtus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,79,peak_frequency,mean,97.0,,,kHz,sd,4.5,97.0 ± 4.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-curtus,1004590,Hipposideros curtus,exact,grunwald-2024,"Table 4, Hipposideros curtus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,79,min_frequency,mean,90.0,,,kHz,sd,4.6,90.0 ± 4.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-curtus,1004590,Hipposideros curtus,exact,grunwald-2024,"Table 4, Hipposideros curtus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,79,max_frequency,mean,98.2,,,kHz,sd,5.0,98.2 ± 5.0,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-curtus,1004590,Hipposideros curtus,exact,grunwald-2024,"Table 4, Hipposideros curtus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,79,duration,mean,11.0,,,ms,sd,0.4,11.0 ± 0.4,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-fuliginosus,1004598,Hipposideros fuliginosus,exact,grunwald-2024,"Table 4, Hipposideros fuliginosus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,61,peak_frequency,mean,109.9,,,kHz,sd,0.2,109.9 ± 0.2,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-hipposideros-fuliginosus,1004598,Hipposideros fuliginosus,exact,grunwald-2024,"Table 4, Hipposideros fuliginosus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,61,min_frequency,mean,92.6,,,kHz,sd,6.0,92.6 ± 6.0,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
