observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-2b4910a689c02e,1005598,Glischropus bucephalus,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01198 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,inter_pulse_interval,species_summary,44.9,,,ms,,,,44.9 +/- 18.2,definition_unstated,"Imported from MASTER_call_records.csv record BAT01198; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 3 males, flight tent"
mst-483135b3965d4e,1005287,Kerivoula depressa,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01201 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,peak_frequency,species_summary,129,,,kHz,,,,129.0 +/- 15.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01201; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 male + 1 female, flight tent"
mst-6f2cd4c4ad49b8,1005598,Glischropus bucephalus,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01197 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,duration,species_summary,2.6,,,ms,,,,2.6 +/- 0.5,definition_unstated,"Imported from MASTER_call_records.csv record BAT01197; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 3 males, flight tent"
mst-7d16f214409314,1005288,Kerivoula dongduongana,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01207 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,duration,species_summary,2.9,,,ms,,,,2.9 +/- 0.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01207; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 4 males + 1 female, flight tent"
mst-823ef1d71c6507,1005598,Glischropus bucephalus,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01196 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,peak_frequency,species_summary,56.7,,,kHz,,,,56.7 +/- 1.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01196; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 3 males, flight tent"
mst-83ef5cb3f2d964,1005472,Myotis sicarius,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01218 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,inter_pulse_interval,species_summary,137.3,,,ms,,,,137.3 +/- 24.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01218; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 male, flight tent; FIRST RECORD of species in Vietnam/SE Asia"
mst-8bc7cf336a6ed8,1005287,Kerivoula depressa,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01203 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,inter_pulse_interval,species_summary,15.5,,,ms,,,,15.5 +/- 3.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01203; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 male + 1 female, flight tent"
mst-9ab0c83ba44d93,1005472,Myotis sicarius,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01216 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,peak_frequency,species_summary,36.6,,,kHz,,,,36.6 +/- 0.6,definition_unstated,"Imported from MASTER_call_records.csv record BAT01216; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 male, flight tent; FIRST RECORD of species in Vietnam/SE Asia"
mst-a20f152938cc89,1005287,Kerivoula depressa,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01202 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,duration,species_summary,2.3,,,ms,,,,2.3 +/- 0.7,definition_unstated,"Imported from MASTER_call_records.csv record BAT01202; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 male + 1 female, flight tent"
mst-a8a5adddad38c0,1005426,Myotis laniger,exact,gyorossy-2024-vietnam,supplied worksheet record BAT01213 (mainlandSEA_vietnam_newspecies_quant),gyorossy-2024-vietnam-unstated,unspecified,,,,unspecified,,,,,,,inter_pulse_interval,species_summary,46,,,ms,,,,46.0 +/- 5.3,definition_unstated,"Imported from MASTER_call_records.csv record BAT01213; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Gyorossy, Csorba, Szabadi, Estok, Tu, Thong, Furey, Huang, Tuanmu, Fukui, Zsebok & Gorfol 2024, Scientific Reports 14:23335 (open access CC-BY-NC-ND, full narrative text fetched from nature.com). 3438 pulses, 1042 recordings, 2006-2023, 30 provinces + 3 municipalities of Vietnam. 87 species/species-groups, 28 genera, 8 families = 74% of Vietnam's 118 echolocating species (129 total bat species). Deposited in ChiroVox. Call-type classification (FM/FM-QCF/cDFM/CF-FM/QCF) is from the paper's own family-by-family narrative; the full per-species quantitative table (Tables 1-8: mean+/-SD, min-max, n) is in the source but rendered as an image/table object not captured by this text fetch - flagged as the acquisition target for this batch, same situation as South Asia's Supp. Mat. 3. 1 female, flight tent"
