observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, bandwidth column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,bandwidth,mean,49.29,,,kHz,sd,11.77,49.29 ± 11.77,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, duration column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,duration,mean,8.18,,,ms,sd,3.48,8.18 ± 3.48,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, end frequency column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,end_frequency,mean,105.29,,,kHz,sd,3.37,105.29 ± 3.37,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, inter-pulse interval column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,inter_pulse_interval,mean,11.83,,,ms,sd,3.69,11.83 ± 3.69,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, max frequency column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,max_frequency,mean,154.59,,,kHz,sd,17.18,154.59 ± 17.18,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, min frequency column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,min_frequency,mean,105.29,,,kHz,sd,3.37,105.29 ± 3.37,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, FmaxE column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,peak_frequency,mean,119.5,,,kHz,sd,8.89,119.5 ± 8.89,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-1,1004563,Coelops frithii,exact,hughes-2011-thailand,"Table 1, Coelops frithii row, start frequency column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,17,start_frequency,mean,151.24,,,kHz,sd,19.29,151.24 ± 19.29,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-10,1005119,Miniopterus magnater,exact,hughes-2011-thailand,"Table 1, Miniopterus magnater row, bandwidth column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,10,bandwidth,mean,86,,,kHz,sd,22.83,86 ± 22.83,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
hughes2011-table1-10,1005119,Miniopterus magnater,exact,hughes-2011-thailand,"Table 1, Miniopterus magnater row, duration column",hughes-2011-thailand-time-expansion,unspecified,,,,hand_release,,Thailand,primarily southern Thai peninsula; range of Thailand localities,,,10,duration,mean,4.35,,,ms,sd,1.52,4.35 ± 1.52,definition_unstated,Table 1 mean and SD. The paper explicitly defines pi as start-to-start pulse interval; it warns that start/end values depend on the background-noise boundary. The reported free flight follows hand release in relatively cluttered surroundings.
