observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,inter_pulse_interval,mean,148,,,ms,sd,73,148 ± 73,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,duration,mean,5.6,,,ms,sd,1.9,5.6 ± 1.9,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,max_frequency,mean,36.8,,,kHz,sd,6.6,36.8 ± 6.6,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,min_frequency,mean,22.9,,,kHz,sd,1.4,22.9 ± 1.4,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,bandwidth,mean,13.8,,,kHz,sd,6.3,13.8 ± 6.3,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-a,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type A",ing-2016-array,unspecified,type_a,Type A,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,peak_frequency,mean,25.7,,,kHz,sd,2.2,25.7 ± 2.2,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,inter_pulse_interval,mean,148,,,ms,sd,73,148 ± 73,ok,"Table 2 gives a shared IPI; repeated by variant to preserve the source's alternating-call context."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,duration,mean,6.4,,,ms,sd,1.8,6.4 ± 1.8,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,max_frequency,mean,57,,,kHz,sd,13.5,57 ± 13.5,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,min_frequency,mean,29.8,,,kHz,sd,1.3,29.8 ± 1.3,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,bandwidth,mean,27.1,,,kHz,sd,13.2,27.1 ± 13.2,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
ing-2016-superba-b,1005546,Glauconycteris superba,exact,ing-2016,"Table 2, type B",ing-2016-array,unspecified,type_b,Type B,,unspecified,,Democratic Republic of the Congo,"Mbiye Island and Yoko Forest Reserve",,10,26,peak_frequency,mean,33,,,kHz,sd,3,33 ± 3,ok,"Table 2; cached raw SHA-256 083734a0b521f67f4ecaef3e99d9602e228044efe95c4e59b0446c7e2cecbcf6."
