observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
jennings-2004-a-jamaicensis-jamaicensis,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",,,harmonic_count,max,5,,,count,,,,5,ok,"Maximum number of harmonics, the fundamental included, seen within the 120 kHz response of the recording equipment; more may lie above it. Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat."
jennings-2004-a-jamaicensis-jamaicensis-h2,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h2)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",14,14,duration,mean,2.6,,,ms,sd,0.8,2,2.6 ± 0.8 (1.0–3.5),ok,Measured on the harmonic carrying most energy in this group of bats (h2). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h2,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h2)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",14,14,end_frequency,mean,40.0,,,kHz,sd,2.6,2,40.0 ± 2.6 (36.0–45.0),ok,Measured on the harmonic carrying most energy in this group of bats (h2). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h2,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h2)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",14,14,inter_pulse_interval,mean,73.0,,,ms,sd,31.0,2,73 ± 31 (33–133),ok,Measured on the harmonic carrying most energy in this group of bats (h2). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h2,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h2)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",14,14,peak_frequency,mean,54.7,,,kHz,sd,3.6,2,54.7 ± 3.6 (47.3–58.2),ok,Measured on the harmonic carrying most energy in this group of bats (h2). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h2,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h2)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",14,14,start_frequency,mean,72.5,,,kHz,sd,4.7,2,72.5 ± 4.7 (64.0–83.0),ok,Measured on the harmonic carrying most energy in this group of bats (h2). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h3,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h3)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",6,6,duration,mean,1.8,,,ms,sd,0.6,3,1.8 ± 0.6 (1.1–2.6),ok,Measured on the harmonic carrying most energy in this group of bats (h3). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h3,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h3)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",6,6,end_frequency,mean,56.7,,,kHz,sd,3.4,3,56.7 ± 3.4 (51.0–60.0),ok,Measured on the harmonic carrying most energy in this group of bats (h3). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h3,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h3)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",6,6,inter_pulse_interval,mean,78.0,,,ms,sd,81.0,3,78 ± 81 (23–237),ok,Measured on the harmonic carrying most energy in this group of bats (h3). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
jennings-2004-a-jamaicensis-jamaicensis-h3,1005011,A. jamaicensis jamaicensis,manual,jennings-2004,"Table 1, pp. 79-80, A. jamaicensis jamaicensis (h3)",jennings-2004-release,search,,,,hand_release,edge,PR; DM,Puerto Rico; Dominica,"Jan 1994, Apr 1995, Aug and Oct 1995, Jul and Aug 1996",6,6,peak_frequency,mean,72.2,,,kHz,sd,3.6,3,72.2 ± 3.6 (68.2–77.6),ok,Measured on the harmonic carrying most energy in this group of bats (h3). Released from the hand in background-cluttered space and recorded in free flight about 10 m away; one orientation-phase call per bat.
