observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-10866331a69aad,1005237,Nyctinomops macrotis,exact,jung-2014,supplied worksheet record BAT01953 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,low call type,low call type,,free_flying_wild,,SA,,,,,bandwidth,mean,12,,,kHz,sd,5.1,,12.0 +/- 5.1,ok,"Imported from MASTER_call_records.csv record BAT01953; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-3b46f505d54445,1005256,Promops centralis,exact,jung-2014,supplied worksheet record BAT01958 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,"high II, FM-down-QCF","high II, FM-down-QCF",,free_flying_wild,,SA,,,,,start_frequency,mean,35.7,,,kHz,sd,6.5,,35.7 +/- 6.5,ok,"Imported from MASTER_call_records.csv record BAT01958; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences. NC/NS=7/9."
mst-3beb42e99b5a6b,1005256,Promops centralis,exact,jung-2014,supplied worksheet record BAT01956 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,"low, FM-up-QCF","low, FM-up-QCF",,free_flying_wild,,SA,,,,,start_frequency,mean,25.8,,,kHz,sd,0.8,,25.8 +/- 0.8,ok,"Imported from MASTER_call_records.csv record BAT01956; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences. NC/NS=12/13. BRAZIL-MISSING SPECIES, NOW FILLED."
mst-40ffaa80763b6c,1005237,Nyctinomops macrotis,exact,jung-2014,supplied worksheet record BAT01954 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,,,,free_flying_wild,,SA,,,,,duration,mean,13.3,,,ms,sd,1.9,,13.3 +/- 1.9,ok,"Imported from MASTER_call_records.csv record BAT01954; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences. Lowest-frequency molossid of the 18 studied; the source attributes this to specialization on large moth prey (Sparks & Valdez 2003)."
mst-4e8320fedf4769,1005237,Nyctinomops macrotis,exact,jung-2014,supplied worksheet record BAT01952 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,low call type,low call type,,free_flying_wild,,SA,,,,,end_frequency,mean,16.7,,,kHz,sd,1,,16.7 +/- 1.0,ok,"Imported from MASTER_call_records.csv record BAT01952; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-68e1f37ec4bc5a,1005256,Promops centralis,exact,jung-2014,supplied worksheet record BAT01959 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,high II,high II,,free_flying_wild,,SA,,,,,end_frequency,mean,30.4,,,kHz,sd,1.1,,30.4 +/- 1.1,ok,"Imported from MASTER_call_records.csv record BAT01959; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-785428d221cdc0,1005237,Nyctinomops macrotis,exact,jung-2014,supplied worksheet record BAT01955 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,,,,free_flying_wild,,SA,,,,,inter_pulse_interval,mean,284.7,,,ms,sd,4.1,,284.7 +/- 4.1,ok,"Imported from MASTER_call_records.csv record BAT01955; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-8d1d04623f6612,1005256,Promops centralis,exact,jung-2014,supplied worksheet record BAT01957 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,low,low,,free_flying_wild,,SA,,,,,end_frequency,mean,28,,,kHz,sd,0.7,,28.0 +/- 0.7,ok,"Imported from MASTER_call_records.csv record BAT01957; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-c5c21d6c233a3a,1005256,Promops centralis,exact,jung-2014,supplied worksheet record BAT01961 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,low,low,,free_flying_wild,,SA,,,,,duration,mean,17.8,,,ms,sd,3.3,,17.8 +/- 3.3,ok,"Imported from MASTER_call_records.csv record BAT01961; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences."
mst-f7cb405261444e,1005237,Nyctinomops macrotis,exact,jung-2014,supplied worksheet record BAT01951 (southamerica_amazon_final_fill),jung-2014-free-flight,unspecified,low call type,low call type,,free_flying_wild,,SA,,,,,start_frequency,mean,28.8,,,kHz,sd,4,,28.8 +/- 4.0,ok,"Imported from MASTER_call_records.csv record BAT01951; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Jung, Molinari & Kalko 2014, PLoS ONE - PRIMARY source, now fetched directly (previously only known via Arias-Aguilar's compiled/composite rows). Recordings from Costa Rica, Panama, Venezuela, Bolivia and Brazil (BDFFP) over 10 years. First harmonic only (contains most energy in molossids). n given as NC/NS = number of calls / number of sequences. NC/NS=11/2. BRAZIL-MISSING SPECIES, NOW FILLED."
