observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
kofoky-2009-paremballonura-tiavato,1004812,Emballonura tiavato,manual,kofoky-2009,"Table 1, Emballonura tiavato row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,25,peak_frequency,mean,54.2,,,kHz,sd,0.71,54.2 ± 0.71,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 25 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-tiavato,1004812,Emballonura tiavato,manual,kofoky-2009,"Table 1, Emballonura tiavato row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,25,max_frequency,mean,55.6,,,kHz,sd,0.88,55.6 ± 0.88,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 25 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-tiavato,1004812,Emballonura tiavato,manual,kofoky-2009,"Table 1, Emballonura tiavato row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,25,min_frequency,mean,37.2,,,kHz,sd,2.82,37.2 ± 2.82,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 25 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-tiavato,1004812,Emballonura tiavato,manual,kofoky-2009,"Table 1, Emballonura tiavato row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,25,duration,mean,4.2,,,ms,sd,1.13,4.2 ± 1.13,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 25 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-tiavato,1004812,Emballonura tiavato,manual,kofoky-2009,"Table 1, Emballonura tiavato row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,25,inter_pulse_interval,mean,92.2,,,ms,sd,29.59,92.2 ± 29.59,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 25 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-atrata,1004811,Emballonura atrata,manual,kofoky-2009,"Table 1, Emballonura atrata row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,2,7,peak_frequency,mean,52.9,,,kHz,sd,1.16,52.9 ± 1.16,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 2 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-atrata,1004811,Emballonura atrata,manual,kofoky-2009,"Table 1, Emballonura atrata row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,2,7,max_frequency,mean,55.7,,,kHz,sd,0.95,55.7 ± 0.95,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 2 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-atrata,1004811,Emballonura atrata,manual,kofoky-2009,"Table 1, Emballonura atrata row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,2,7,min_frequency,mean,39.1,,,kHz,sd,3.07,39.1 ± 3.07,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 2 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-atrata,1004811,Emballonura atrata,manual,kofoky-2009,"Table 1, Emballonura atrata row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,2,7,duration,mean,2.9,,,ms,sd,0.44,2.9 ± 0.44,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 2 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-paremballonura-atrata,1004811,Emballonura atrata,manual,kofoky-2009,"Table 1, Emballonura atrata row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,2,7,inter_pulse_interval,mean,82.8,,,ms,sd,11.12,82.8 ± 11.12,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 2 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-laephotis-malagasyensis,1005733,Neoromicia malagasyensis,manual,kofoky-2009,"Table 1, Neoromicia malagasyensis row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,20,peak_frequency,mean,45.7,,,kHz,sd,2.94,45.7 ± 2.94,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 20 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-laephotis-malagasyensis,1005733,Neoromicia malagasyensis,manual,kofoky-2009,"Table 1, Neoromicia malagasyensis row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,20,max_frequency,mean,79.8,,,kHz,sd,12.35,79.8 ± 12.35,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 20 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-laephotis-malagasyensis,1005733,Neoromicia malagasyensis,manual,kofoky-2009,"Table 1, Neoromicia malagasyensis row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,20,min_frequency,mean,40.5,,,kHz,sd,3.77,40.5 ± 3.77,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 20 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-laephotis-malagasyensis,1005733,Neoromicia malagasyensis,manual,kofoky-2009,"Table 1, Neoromicia malagasyensis row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,20,duration,mean,4.9,,,ms,sd,0.78,4.9 ± 0.78,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 20 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-laephotis-malagasyensis,1005733,Neoromicia malagasyensis,manual,kofoky-2009,"Table 1, Neoromicia malagasyensis row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,6,20,inter_pulse_interval,mean,69.1,,,ms,sd,17.57,69.1 ± 17.57,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 6 bats / 20 pulses. The observation combines recording conditions, as documented by the method record."
kofoky-2009-scotophilus-tandrefana,1005696,Scotophilus tandrefana,exact,kofoky-2009,"Table 1, Scotophilus tandrefana row",kofoky-2009-mixed,unspecified,,,,unspecified,,Madagascar,,,1,7,peak_frequency,mean,48.2,,,kHz,sd,1.52,48.2 ± 1.52,ok,"Manually transcribed from Table 1 by import_kofoky_madagascar_calls.py; cached raw SHA-256 26436d299810e72deb211d725d4c21b501b4de56579d6d43ce17a2d6c2c85c46. Table reports 1 bats / 7 pulses. The observation combines recording conditions, as documented by the method record."
