observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-007760632b61b5,1005662,Plecotus auritus,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01015 (europe_ancillary_metrics),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,detection_distance,species_summary,5,,,m,,,,5,definition_unstated,"Imported from MASTER_call_records.csv record BAT01015; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=non_call_metric] | Calls are very quiet. This species is therefore severely under-detected by passive acoustic monitoring, which biases any distribution map built from acoustic data."
mst-126a33a70ef7dc,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT00887 (denmark),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,start_frequency,species_summary,95,,,kHz,,,,95,definition_unstated,Imported from MASTER_call_records.csv record BAT00887; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. 
mst-148db276974a35,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01034 (europe),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,signal_type,single,FM,,,,,,,"FM (steep, with terminal Myotis tail)",ok,Imported from MASTER_call_records.csv record BAT01034; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_structure]
mst-221c0c02909dc6,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT00888 (denmark),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,end_frequency,species_summary,26,,,kHz,,,,26,definition_unstated,Imported from MASTER_call_records.csv record BAT00888; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. 
mst-2889c0eb7943a6,1005662,Plecotus auritus,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01090 (europe),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,signal_type,single,FM,,,,,,,"FM, two overlapping harmonics",ok,Imported from MASTER_call_records.csv record BAT01090; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_structure] | Harmonic 1 sweeps from about 55 down to 25-20 kHz; harmonic 2 from above 80 down to 40 kHz. The harmonics overlap in frequency. Calls may be emitted through mouth or nose.
mst-31f05e447741d3,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01036 (europe),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,end_frequency,species_summary,26,,,kHz,,,,26,definition_unstated,Imported from MASTER_call_records.csv record BAT01036; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter]
mst-4047a307d55daf,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01035 (europe),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,start_frequency,species_summary,95,,,kHz,,,,95,definition_unstated,Imported from MASTER_call_records.csv record BAT01035; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter]
mst-545bbf0f03df04,1005662,Plecotus auritus,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT00946 (denmark),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,detection_distance,species_summary,5,,,m,,,,5,definition_unstated,"Imported from MASTER_call_records.csv record BAT00946; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Calls are very quiet. This species is therefore severely under-detected by passive acoustic monitoring, which biases any distribution map built from acoustic data."
mst-73ca1be4877c0c,1005662,Plecotus auritus,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT00944 (denmark),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,signal_type,single,FM,,,,,,,"FM, two overlapping harmonics",ok,Imported from MASTER_call_records.csv record BAT00944; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Harmonic 1 sweeps from about 55 down to 25-20 kHz; harmonic 2 from above 80 down to 40 kHz. The harmonics overlap in frequency. Calls may be emitted through mouth or nose.
mst-d7f7e7fe7addd7,1005380,Myotis brandtii,exact,lung-mv-ffh-factsheets,supplied worksheet record BAT01037 (europe),lung-mv-ffh-factsheets-unstated,search,,,,free_flying_wild,,DE,,,,,duration,range,,4,7,ms,,,,4-7,definition_unstated,Imported from MASTER_call_records.csv record BAT01037; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter]
