observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-0375497ef28d5b,1005600,Glischropus tylopus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01347 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,2,,inter_pulse_interval,species_summary,20.3,,,ms,,,,20.3,definition_unstated,"Imported from MASTER_call_records.csv record BAT01347; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.2."
mst-074b817770f240,1004585,Hipposideros cervinus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01254 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,unspecified,,"Sarawak, Malaysian Borneo",,,51,,inter_pulse_interval,species_summary,23.7,,,ms,,,,23.7,definition_unstated,"Imported from MASTER_call_records.csv record BAT01254; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=7.3."
mst-0a0b7cc175f434,1004675,Rhinolophus creaghi,exact,mcarthur-2021-borneo,supplied worksheet record BAT01236 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,72,,inter_pulse_interval,species_summary,87.3,,,ms,,,,87.3,definition_unstated,"Imported from MASTER_call_records.csv record BAT01236; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=20.4."
mst-102163aa112b3f,1004600,Hipposideros galeritus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01281 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,21,,inter_pulse_interval,species_summary,21.6,,,ms,,,,21.6,definition_unstated,"Imported from MASTER_call_records.csv record BAT01281; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=3.6."
mst-11d73a9854d8bb,1004703,Rhinolophus luctus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01238 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,unspecified,,"Sarawak, Malaysian Borneo",,,2,,duration,species_summary,64.3,,,ms,,,,64.3 64.0-64.6,definition_unstated,"Imported from MASTER_call_records.csv record BAT01238; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.4."
mst-131737be2300ab,1004588,Hipposideros coxi,exact,mcarthur-2021-borneo,supplied worksheet record BAT01262 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,10,,duration,species_summary,6.4,,,ms,,,,6.4 4.9-8.3,definition_unstated,"Imported from MASTER_call_records.csv record BAT01262; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=1.1."
mst-17ad32dc7f4c47,1005292,Kerivoula hardwickii,exact,mcarthur-2021-borneo,supplied worksheet record BAT01316 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,10,,duration,species_summary,2,,,ms,,,,2.0 1.7-2.4,definition_unstated,"Imported from MASTER_call_records.csv record BAT01316; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.3."
mst-1932e5fb82c900,1004600,Hipposideros galeritus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01276 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,unspecified,,"Sarawak, Malaysian Borneo",,,39,,peak_frequency,species_summary,111,,,kHz,,,,111.0 99.4-115.1,definition_unstated,"Imported from MASTER_call_records.csv record BAT01276; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=4.3. Fstart=112.5 kHz, Fend=94.5 kHz."
mst-2279d2c85c730a,1005600,Glischropus tylopus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01349 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,2,,duration,species_summary,1.7,,,ms,,,,1.7 0.9-2.4,definition_unstated,"Imported from MASTER_call_records.csv record BAT01349; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=1.1."
mst-23e7136deb9ada,1004592,Hipposideros diadema,exact,mcarthur-2021-borneo,supplied worksheet record BAT01268 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,11,,duration,species_summary,11.1,,,ms,,,,11.1 7.4-16.1,definition_unstated,"Imported from MASTER_call_records.csv record BAT01268; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=3.1."
