observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
monadjem-2011-nycteris-arge-low,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,low,low-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,min_frequency,mean,21.55,,,kHz,,,21.55,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-low,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,low,low-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,max_frequency,mean,22.11,,,kHz,,,22.11,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-low,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,low,low-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,characteristic_frequency,mean,21.88,,,kHz,,,21.88,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-low,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,low,low-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,knee_frequency,mean,21.77,,,kHz,,,21.77,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-low,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,low,low-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,duration,mean,4.1,,,ms,,,4.1,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-high,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,high,high-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,min_frequency,mean,46.43,,,kHz,,,46.43,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-high,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,high,high-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,max_frequency,mean,47.83,,,kHz,,,47.83,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-high,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,high,high-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,characteristic_frequency,mean,46.93,,,kHz,,,46.93,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-high,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,high,high-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,knee_frequency,mean,47.23,,,kHz,,,47.23,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
monadjem-2011-nycteris-arge-high,1004833,Nycteris arge,exact,monadjem-2011,"Table 2, Nycteris arge row",monadjem-2011-anabat,unspecified,high,high-frequency sequence,,hand_release,,Uganda,Kibale Forest National Park / Queen Elizabeth National Park,,2,,duration,mean,5.9,,,ms,,,5.9,definition_unstated,Manually transcribed from Table 2. Public full text was inspected but could not be cached as source bytes; see reference access note.
