observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-0401c5f7a94fed,1005159,Chaerephon pumilus,synonym_via_mdd,monadjem-2017-swaziland,supplied worksheet record BAT00212 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,35,35,duration,mean,9,,,ms,sd,2.1,,9.0 3.9-12.6 +/- 2.1,ok,"Imported from MASTER_call_records.csv record BAT00212; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-06eda4c66683d3,1005752,Nycticeinops schlieffeni,synonym_via_mdd,monadjem-2017-swaziland,supplied worksheet record BAT00245 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,1,,detection_distance,species_summary,15,,,m,,,,15.0,definition_unstated,"Imported from MASTER_call_records.csv record BAT00245; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing. Correction factor = 0.0002387 (inverse of detection-volume half-sphere). Strong negative correlation between detection distance and Fk across species (r=-0.77, P<0.01) - lower-frequency callers are detectable much farther away, a real, quantified source of detectability bias directly analogous to findings in Europe, Borneo and Peru batches earlier in this project, now with an actual correction factor a user could apply."
mst-0aeeec664533de,1005126,Miniopterus natalensis,exact,monadjem-2017-swaziland,supplied worksheet record BAT00250 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,1,,detection_distance,species_summary,5,,,m,,,,5,definition_unstated,"Imported from MASTER_call_records.csv record BAT00250; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing. Correction factor = 0.005167 (inverse of detection-volume half-sphere). Strong negative correlation between detection distance and Fk across species (r=-0.77, P<0.01) - lower-frequency callers are detectable much farther away, a real, quantified source of detectability bias directly analogous to findings in Europe, Borneo and Peru batches earlier in this project, now with an actual correction factor a user could apply."
mst-0f08f249e113da,1005479,Myotis tricolor,exact,monadjem-2017-swaziland,supplied worksheet record BAT00187 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,9,10,characteristic_frequency,mean,49.4,,,kHz,sd,11.4,,49.4 38.0-60.8 +/- 11.4,ok,"Imported from MASTER_call_records.csv record BAT00187; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-1199426a40e152,1005698,Scotophilus viridis,exact,monadjem-2017-swaziland,supplied worksheet record BAT00209 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,4,4,knee_frequency,mean,42.7,,,kHz,sd,1.05,,42.7 41.6-43.7 +/- 1.05,ok,"Imported from MASTER_call_records.csv record BAT00209; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-17218b4594ba3f,1005684,Scotophilus dinganii,exact,monadjem-2017-swaziland,supplied worksheet record BAT00207 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,15,17,characteristic_frequency,mean,33.7,,,kHz,sd,1.44,,33.7 30.3-35.6 +/- 1.44,ok,"Imported from MASTER_call_records.csv record BAT00207; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-17d1f2adc0f68f,1005620,Pipistrellus hesperidus,exact,monadjem-2017-swaziland,supplied worksheet record BAT00201 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,14,15,knee_frequency,mean,49.6,,,kHz,sd,2.42,,49.6 44.6-54.3 +/- 2.42,ok,"Imported from MASTER_call_records.csv record BAT00201; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-191710b0a0518b,1005684,Scotophilus dinganii,exact,monadjem-2017-swaziland,supplied worksheet record BAT00206 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,15,17,min_frequency,mean,33.2,,,kHz,sd,1.26,,33.2 30.3-34.7 +/- 1.26,ok,"Imported from MASTER_call_records.csv record BAT00206; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-1a4254377d7932,1005698,Scotophilus viridis,exact,monadjem-2017-swaziland,supplied worksheet record BAT00211 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,4,4,characteristic_frequency,mean,40.1,,,kHz,sd,1.31,,40.1 38.8-42.4 +/- 1.31,ok,"Imported from MASTER_call_records.csv record BAT00211; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
mst-1b5958c2818ec2,1005698,Scotophilus viridis,exact,monadjem-2017-swaziland,supplied worksheet record BAT00208 (africa_swaziland),monadjem-2017-swaziland-release,unspecified,,,,hand_release,,north-eastern Swaziland,,,4,4,duration,mean,3.5,,,ms,sd,1.55,,3.5 2.0-5.0 +/- 1.55,ok,"Imported from MASTER_call_records.csv record BAT00208; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Monadjem, Shapiro, Mtsetfwa, Reside & McCleery 2017, Acta Chiropterologica 19(1):175-187 (open access via BioOne, full text incl. Table 1 fetched). 178 calls, 145 hand-released individuals, north-eastern Swaziland savanna, 2005-2016. Four Anabat/Analook parameters: Dur (duration), Fk (frequency of the knee), Fmin (minimum frequency), Fc (frequency of the flattest part of the call, i.e. characteristic frequency). Two species attempted but yielded only indistinguishable noise (Nycteris thebaica, Kerivoula lanosa) - both explicitly excluded, not silently missing."
