observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
obrist2004-1004684,1004684,Rhinolophus ferrumequinum,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,22.7,,,ms,sd,4.9,"22,7 ± 4,9",suspect,"Calls of this species exceed the paper's fixed 26 ms analysis window, so this value is measured on a truncated call. Table 1 marks affected values in italics, which are not recoverable from the scanned page; the flag here is applied from the methods statement that Rhinolophidae exceed the window. Applied to duration and minimum frequency only, since truncation removes the end of the call: that shortens the measured duration and raises the measured lowest frequency, while peak and highest frequency sit in the CF portion present from call onset. That last point is our inference from the stated mechanism, not the paper's own marking, and should be checked against a clean copy of the table."
obrist2004-1004684,1004684,Rhinolophus ferrumequinum,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,84.1,,,kHz,sd,0.9,"84,1 ± 0,9",ok,
obrist2004-1004684,1004684,Rhinolophus ferrumequinum,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,69.1,,,kHz,sd,8.1,"69,1 ± 8,1",suspect,"Calls of this species exceed the paper's fixed 26 ms analysis window, so this value is measured on a truncated call. Table 1 marks affected values in italics, which are not recoverable from the scanned page; the flag here is applied from the methods statement that Rhinolophidae exceed the window. Applied to duration and minimum frequency only, since truncation removes the end of the call: that shortens the measured duration and raises the measured lowest frequency, while peak and highest frequency sit in the CF portion present from call onset. That last point is our inference from the stated mechanism, not the paper's own marking, and should be checked against a clean copy of the table."
obrist2004-1004684,1004684,Rhinolophus ferrumequinum,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,79.7,,,kHz,sd,4.7,"79,7 ± 4,7",ok,
obrist2004-1004693,1004693,Rhinolophus hipposideros,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,21.6,,,ms,sd,4.4,"21,6 ± 4,4",suspect,"Calls of this species exceed the paper's fixed 26 ms analysis window, so this value is measured on a truncated call. Table 1 marks affected values in italics, which are not recoverable from the scanned page; the flag here is applied from the methods statement that Rhinolophidae exceed the window. Applied to duration and minimum frequency only, since truncation removes the end of the call: that shortens the measured duration and raises the measured lowest frequency, while peak and highest frequency sit in the CF portion present from call onset. That last point is our inference from the stated mechanism, not the paper's own marking, and should be checked against a clean copy of the table."
obrist2004-1004693,1004693,Rhinolophus hipposideros,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,110.6,,,kHz,sd,1.7,"110,6 ± 1,7",ok,
obrist2004-1004693,1004693,Rhinolophus hipposideros,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,89.8,,,kHz,sd,10.9,"89,8 ± 10,9",suspect,"Calls of this species exceed the paper's fixed 26 ms analysis window, so this value is measured on a truncated call. Table 1 marks affected values in italics, which are not recoverable from the scanned page; the flag here is applied from the methods statement that Rhinolophidae exceed the window. Applied to duration and minimum frequency only, since truncation removes the end of the call: that shortens the measured duration and raises the measured lowest frequency, while peak and highest frequency sit in the CF portion present from call onset. That last point is our inference from the stated mechanism, not the paper's own marking, and should be checked against a clean copy of the table."
obrist2004-1004693,1004693,Rhinolophus hipposideros,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,107.5,,,kHz,sd,3.7,"107,5 ± 3,7",ok,
obrist2004-1005135,1005135,Miniopterus schreibersii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,6.2,,,ms,sd,0.8,"6,2 ± 0,8",ok,
obrist2004-1005135,1005135,Miniopterus schreibersii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,87.3,,,kHz,sd,11,"87,3 ± 11",ok,
obrist2004-1005135,1005135,Miniopterus schreibersii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,47.4,,,kHz,sd,1.2,"47,4 ± 1,2",ok,
obrist2004-1005135,1005135,Miniopterus schreibersii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,53.9,,,kHz,sd,3.8,"53,9 ± 3,8",ok,
obrist2004-1005267,1005267,Tadarida teniotis,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,free_flying_wild,,Switzerland,,,,42,duration,mean,16.8,,,ms,sd,2.4,"16,8 ± 2,4",ok,
obrist2004-1005267,1005267,Tadarida teniotis,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,free_flying_wild,,Switzerland,,,,42,max_frequency,mean,15.3,,,kHz,sd,2.5,"15,3 ± 2,5",ok,
obrist2004-1005267,1005267,Tadarida teniotis,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,free_flying_wild,,Switzerland,,,,42,min_frequency,mean,8,,,kHz,sd,0.7,"8 ± 0,7",ok,
obrist2004-1005267,1005267,Tadarida teniotis,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,free_flying_wild,,Switzerland,,,,42,peak_frequency,mean,11.4,,,kHz,sd,0.8,"11,4 ± 0,8",ok,
obrist2004-1005375,1005375,Myotis bechsteinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,65,duration,mean,4.3,,,ms,sd,0.8,"4,3 ± 0,8",ok,
obrist2004-1005375,1005375,Myotis bechsteinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,65,max_frequency,mean,103.5,,,kHz,sd,12.7,"103,5 ± 12,7",ok,
obrist2004-1005375,1005375,Myotis bechsteinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,65,min_frequency,mean,26.5,,,kHz,sd,2.9,"26,5 ± 2,9",ok,
obrist2004-1005375,1005375,Myotis bechsteinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,65,peak_frequency,mean,48.4,,,kHz,sd,6.6,"48,4 ± 6,6",ok,
obrist2004-1005376,1005376,Myotis blythii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,3.3,,,ms,sd,0.7,"3,3 ± 0,7",ok,
obrist2004-1005376,1005376,Myotis blythii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,106.2,,,kHz,sd,14.1,"106,2 ± 14,1",ok,
obrist2004-1005376,1005376,Myotis blythii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,24.5,,,kHz,sd,4.4,"24,5 ± 4,4",ok,
obrist2004-1005376,1005376,Myotis blythii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,53.2,,,kHz,sd,10.9,"53,2 ± 10,9",ok,
obrist2004-1005380,1005380,Myotis brandtii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,4.6,,,ms,sd,1.1,"4,6 ± 1,1",ok,
obrist2004-1005380,1005380,Myotis brandtii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,103.6,,,kHz,sd,12.8,"103,6 ± 12,8",ok,
obrist2004-1005380,1005380,Myotis brandtii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,27.5,,,kHz,sd,3.1,"27,5 ± 3,1",ok,
obrist2004-1005380,1005380,Myotis brandtii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,45.7,,,kHz,sd,4.9,"45,7 ± 4,9",ok,
obrist2004-1005384,1005384,Myotis capaccinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,duration,mean,5.2,,,ms,sd,1.1,"5,2 ± 1,1",ok,
obrist2004-1005384,1005384,Myotis capaccinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,max_frequency,mean,86.8,,,kHz,sd,8.4,"86,8 ± 8,4",ok,
obrist2004-1005384,1005384,Myotis capaccinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,min_frequency,mean,32,,,kHz,sd,2.6,"32 ± 2,6",ok,
obrist2004-1005384,1005384,Myotis capaccinii,exact,obrist-2004,"Table 1, p. 314",obrist-2004-canary,search,,,,hand_release,,Switzerland,,,,100,peak_frequency,mean,45.1,,,kHz,sd,4.3,"45,1 ± 4,3",ok,
