observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-031bdaed9c36a1,1005439,Myotis moluccarum,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01700 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,101,total_slope,species_summary,16.66,,,kHz/ms,,,,16.66,definition_unstated,"Imported from MASTER_call_records.csv record BAT01700; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Large-footed myotis)"
mst-03c6b8188fa808,1004584,Hipposideros calcaratus,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01728 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,50,total_slope,species_summary,0.38,,,kHz/ms,,,,0.38,definition_unstated,"Imported from MASTER_call_records.csv record BAT01728; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Spurred leaf-nosed bat)"
mst-0740eeb0fb3a85,1005439,Myotis moluccarum,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01699 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,101,peak_frequency,species_summary,58.22,,,kHz,,,,58.22,definition_unstated,"Imported from MASTER_call_records.csv record BAT01699; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Large-footed myotis)"
mst-0b24d9c7a75b89,1004810,Mosia nigrescens,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01690 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,402,max_frequency,species_summary,57.05,,,kHz,,,,57.05,definition_unstated,"Imported from MASTER_call_records.csv record BAT01690; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Lesser sheathtail bat)"
mst-0f0da00005c3ef,1004804,Emballonura dianae,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01639 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,199,duration,species_summary,4,,,ms,,,,4.0,definition_unstated,"Imported from MASTER_call_records.csv record BAT01639; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species."
mst-131cb595a6fd30,1004584,Hipposideros calcaratus,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01724 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,50,characteristic_frequency,species_summary,115.85,,,kHz,,,,115.85,definition_unstated,"Imported from MASTER_call_records.csv record BAT01724; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Spurred leaf-nosed bat)"
mst-17bf3517173d64,1004585,Hipposideros cervinus (Guadalcanal),exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01756 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,143,total_slope,species_summary,1.58,,,kHz/ms,,,,1.58,definition_unstated,"Imported from MASTER_call_records.csv record BAT01756; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Fawn leaf-nosed bat - regional form)"
mst-1e83ba56996cfb,1004593,Hipposideros dinops,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01675 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,144,characteristic_frequency,species_summary,53.57,,,kHz,,,,53.57,definition_unstated,"Imported from MASTER_call_records.csv record BAT01675; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Fierce leaf-nosed bat)"
mst-1f58b9ceb9c45e,1004593,Hipposideros dinops,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01679 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,144,total_slope,species_summary,0.09,,,kHz/ms,,,,0.09,definition_unstated,"Imported from MASTER_call_records.csv record BAT01679; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species. (Fierce leaf-nosed bat)"
mst-20a46da78be7ae,1004816,Saccolaimus saccolaimus,exact,pennay-lavery-2017-solomons,supplied worksheet record BAT01636 (oceania_solomon),pennay-lavery-2017-solomons-unstated,unspecified,,,,unspecified,,Solomon Islands,,,,201,peak_frequency,species_summary,27.08,,,kHz,,,,27.08,definition_unstated,"Imported from MASTER_call_records.csv record BAT01636; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Pennay & Lavery 2017, 'Identification Guide to Bat Echolocation Calls of Solomon Islands & Bougainville', Australasian Bat Society (open PDF, full text and Table 16 fetched in full). Reference calls (mostly hand-release) from Bougainville, Choiseul, New Georgia, Isabel, Guadalcanal and Makira, Titley Anabat Walkabout at 384 kHz. First-ever documentation of echolocation for most Solomon Islands species. 14 of the region's known echolocating species covered directly; calls collected from all 14, with 3 additional unidentified call types possibly representing further species."
