observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, bandwidth column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,bandwidth,mean,37.32,,,kHz,sd,7.06,37.32 ± 7.06,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, duration column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,duration,mean,5.48,,,ms,sd,23.8,5.48 ± 23.8,suspect,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition. The printed duration dispersion is 23.8 ms; retained verbatim and flagged suspect."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, end_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,end_frequency,mean,42.66,,,kHz,sd,3.18,42.66 ± 3.18,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, max_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,max_frequency,mean,76.27,,,kHz,sd,6.56,76.27 ± 6.56,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, min_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,min_frequency,mean,38.94,,,kHz,sd,2.40,38.94 ± 2.40,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, peak_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,peak_frequency,mean,45.64,,,kHz,sd,3.32,45.64 ± 3.32,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-1,1005687,Scotophilus kuhlii,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, start_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,49,start_frequency,mean,60.41,,,kHz,sd,7.21,60.41 ± 7.21,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, bandwidth column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,bandwidth,mean,35.91,,,kHz,sd,5.22,35.91 ± 5.22,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, duration column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,duration,mean,6.45,,,ms,sd,1.13,6.45 ± 1.13,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, end_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,end_frequency,mean,31.09,,,kHz,sd,5.12,31.09 ± 5.12,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, max_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,max_frequency,mean,59.10,,,kHz,sd,5.11,59.10 ± 5.11,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, min_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,min_frequency,mean,23.19,,,kHz,sd,1.25,23.19 ± 1.25,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, peak_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,peak_frequency,mean,33.07,,,kHz,sd,5.90,33.07 ± 5.90,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-2,1004826,Taphozous melanopogon,exact,pham-2021-vietnam,"Table 2, Vietnam / This study row, start_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,43,start_frequency,mean,32.70,,,kHz,sd,3.27,32.70 ± 3.27,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, bandwidth column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,bandwidth,mean,46.00,,,kHz,sd,3.48,46.00 ± 3.48,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, duration column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,duration,mean,4.78,,,ms,sd,1.06,4.78 ± 1.06,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, end_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,end_frequency,mean,48.03,,,kHz,sd,3.61,48.03 ± 3.61,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, max_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,max_frequency,mean,88.27,,,kHz,sd,3.50,88.27 ± 3.50,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, min_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,min_frequency,mean,42.27,,,kHz,sd,2.66,42.27 ± 2.66,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, peak_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,peak_frequency,mean,50.30,,,kHz,sd,5.09,50.30 ± 5.09,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
pham2021-table2-3,1005622,Pipistrellus javanicus,synonym_via_mdd,pham-2021-vietnam,"Table 2, Vietnam / This study row, start_frequency column",pham-2021-vietnam-tent-and-free-flight,unspecified,,,,unspecified,,Vietnam,,,,50,start_frequency,mean,68.23,,,kHz,sd,4.05,68.23 ± 4.05,ok,"Table 2, Vietnam row labelled 'This study'; study calls were recorded from bats flying singly in a 2 x 4 x 2 m tent, with additional free-flying recordings used for comparison. Table 2 does not assign each reported summary to a recording condition."
