region,roster_scope,source_roster,named_species,with_structured_measurement,no_laryngeal_echolocation,still_missing,taxonomy_unresolved
Brazil,national checklist (2024 audit; 186 species),southamerica_amazon_brazil_coverage_audit.csv,186,111,0,75,4
Ecuador,national checklist (Tirira 2018.1 audit; 171 species),ecuador_coverage_audit.csv,171,83,0,88,18
Peru,national checklist supplied with the Peru batch,peru_bats_full_list.csv,189,98,0,91,19
Europe,47-species investigated cohort; not a continent-wide checklist,europe_species.csv,47,41,0,6,6
North America,"45-species United States/Canada cohort; reconstructed, not authoritative",northamerica_species.csv,45,43,0,2,0
Mexico,69-species Sonozotz recording-library cohort; not a national checklist,mexico_sonozotz_species.csv,69,50,0,19,6
Colombia,"national checklist (Mamiferos de Colombia v1.14, SiB/GBIF; 222 species)",colombia_bats.csv,222,108,0,114,8
Sub-Saharan Africa,"African Bat Database V2 (Monadjem et al. 2024); 292 confirmed binomials, 20 'cf.' records excluded",africa_bats.csv,292,131,34,127,4
Vietnam,90-species ChiroVox recording cohort (Gyorossy et al. 2024 Table S1); not a national checklist,vietnam_bats.csv,90,54,0,36,11
Indonesia,"51-species GBIF recording cohort (MZB, Bukit Barisan Selatan and West Java call datasets); not a national checklist",indonesia_bats.csv,51,34,9,8,2
Malaysia,"45-species GBIF recording cohort (Penang, Langkawi and HNHM Asian Bat Database); not a national checklist",malaysia_bats.csv,45,41,0,4,1
Taiwan,17-species GBIF reference-call cohort; not a national checklist,taiwan_bats.csv,17,9,0,8,1
