region,roster_scope,family,sci_name_as_rostered,mdd_id,status,source_roster
Brazil,national checklist (2024 audit; 186 species),Emballonuridae,Diclidurus isabella,1004785,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Emballonuridae,Diclidurus scutatus,1004786,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Emballonuridae,Peropteryx leucoptera,1004788,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Emballonuridae,Peropteryx pallidoptera,1004790,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Cynomops mastivus,1005169,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Cynomops milleri,1005171,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops bonariensis,1005175,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops chimaera,1005176,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops dabbenei,1005178,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops delticus,1005179,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops maurus,1005184,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops patagonicus,1005186,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Eumops trumbulli,1005188,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Molossus aztecus,1005195,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Molossus fluminensis,1005200,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
Brazil,national checklist (2024 audit; 186 species),Molossidae,Molossus melini,1006581,no_structured_measurement,southamerica_amazon_brazil_coverage_audit.csv
