sci_name,family
Cistugo lesueuri,Cistugidae
Cistugo seabrae,Cistugidae
Coleura afra,Emballonuridae
Saccolaimus peli,Emballonuridae
Taphozous hamiltoni,Emballonuridae
Taphozous hildegardeae,Emballonuridae
Taphozous mauritianus,Emballonuridae
Taphozous nudiventris,Emballonuridae
Taphozous perforatus,Emballonuridae
Asellia italosomalica,Hipposideridae
Asellia patrizii,Hipposideridae
Asellia tridens,Hipposideridae
Doryrhina camerunensis,Hipposideridae
Doryrhina cyclops,Hipposideridae
Hipposideros abae,Hipposideridae
Hipposideros beatus,Hipposideridae
Hipposideros caffer,Hipposideridae
Hipposideros curtus,Hipposideridae
Hipposideros fuliginosus,Hipposideridae
Hipposideros jonesi,Hipposideridae
Hipposideros lamottei,Hipposideridae
Hipposideros marisae,Hipposideridae
Hipposideros megalotis,Hipposideridae
Hipposideros ruber,Hipposideridae
Hipposideros tephrus,Hipposideridae
Macronycteris gigas,Hipposideridae
Macronycteris thomensis,Hipposideridae
Macronycteris vittata,Hipposideridae
Cardioderma cor,Megadermatidae
Lavia frons,Megadermatidae
Miniopterus aelleni,Miniopteridae
Miniopterus africanus,Miniopteridae
Miniopterus arenarius,Miniopteridae
Miniopterus fraterculus,Miniopteridae
Miniopterus griveaudi,Miniopteridae
Miniopterus inflatus,Miniopteridae
Miniopterus maghrebensis,Miniopteridae
Miniopterus minor,Miniopteridae
Miniopterus mossambicus,Miniopteridae
Miniopterus natalensis,Miniopteridae
Miniopterus newtoni,Miniopteridae
Miniopterus nimbae,Miniopteridae
Miniopterus schreibersii,Miniopteridae
Miniopterus villiersi,Miniopteridae
Miniopterus wilsoni,Miniopteridae
Mops aloysiisabaudiae,Molossidae
Mops ansorgei,Molossidae
Mops bakarii,Molossidae
Mops bemmeleni,Molossidae
Mops bivittatus,Molossidae
Mops brachypterus,Molossidae
Mops chapini,Molossidae
Mops condylurus,Molossidae
Mops congicus,Molossidae
Mops demonstrator,Molossidae
Mops gallagheri,Molossidae
Mops leonis,Molossidae
Mops leucogaster,Molossidae
Mops leucostigma,Molossidae
Mops major,Molossidae
Mops midas,Molossidae
Mops nanulus,Molossidae
Mops niangarae,Molossidae
Mops nigeriae,Molossidae
Mops niveiventer,Molossidae
Mops petersoni,Molossidae
Mops pumilus,Molossidae
Mops pusillus,Molossidae
Mops russatus,Molossidae
Mops spurrelli,Molossidae
Mops thersites,Molossidae
Mops tomensis,Molossidae
Mops trevori,Molossidae
Myopterus daubentonii,Molossidae
Myopterus whitleyi,Molossidae
Nyctinomus aegyptiacus,Molossidae
Otomops harrisoni,Molossidae
Otomops martiensseni,Molossidae
Platymops setiger,Molossidae
Sauromys petrophilus,Molossidae
Tadarida fulminans,Molossidae
Tadarida lobata,Molossidae
Tadarida teniotis,Molossidae
Tadarida ventralis,Molossidae
Nycteris arge,Nycteridae
Nycteris aurita,Nycteridae
Nycteris gambiensis,Nycteridae
Nycteris grandis,Nycteridae
Nycteris hispida,Nycteridae
Nycteris intermedia,Nycteridae
Nycteris macrotis,Nycteridae
Nycteris major,Nycteridae
Nycteris nana,Nycteridae
Nycteris parisii,Nycteridae
Nycteris thebaica,Nycteridae
Nycteris woodi,Nycteridae
Casinycteris argynnis,Pteropodidae
Casinycteris campomaanensis,Pteropodidae
Casinycteris ophiodon,Pteropodidae
Eidolon helvum,Pteropodidae
Epomophorus angolensis,Pteropodidae
Epomophorus anselli,Pteropodidae
Epomophorus crypturus,Pteropodidae
Epomophorus dobsonii,Pteropodidae
Epomophorus gambianus,Pteropodidae
Epomophorus grandis,Pteropodidae
Epomophorus intermedius,Pteropodidae
Epomophorus labiatus,Pteropodidae
Epomophorus minimus,Pteropodidae
Epomophorus pusillus,Pteropodidae
Epomophorus wahlbergi,Pteropodidae
Epomops buettikoferi,Pteropodidae
Epomops franqueti,Pteropodidae
Hypsignathus monstrosus,Pteropodidae
Megaloglossus azagnyi,Pteropodidae
Megaloglossus woermanni,Pteropodidae
Myonycteris angolensis,Pteropodidae
Myonycteris brachycephala,Pteropodidae
Myonycteris leptodon,Pteropodidae
Myonycteris relicta,Pteropodidae
Myonycteris torquata,Pteropodidae
Nanonycteris veldkampii,Pteropodidae
Plerotes anchietae,Pteropodidae
