sci_name,family
Balantiopteryx infusca,Emballonuridae
Centronycteris centralis,Emballonuridae
Centronycteris maximiliani,Emballonuridae
Cormura brevirostris,Emballonuridae
Cyttarops alecto,Emballonuridae
Diclidurus albus,Emballonuridae
Diclidurus ingens,Emballonuridae
Diclidurus scutatus,Emballonuridae
Peropteryx kappleri,Emballonuridae
Peropteryx leucoptera,Emballonuridae
Peropteryx macrotis,Emballonuridae
Peropteryx pallidoptera,Emballonuridae
Rhynchonycteris naso,Emballonuridae
Saccopteryx antioquensis,Emballonuridae
Saccopteryx bilineata,Emballonuridae
Saccopteryx canescens,Emballonuridae
Saccopteryx leptura,Emballonuridae
Furipterus horrens,Furipteridae
Cynomops abrasus,Molossidae
Cynomops greenhalli,Molossidae
Cynomops kuizha,Molossidae
Cynomops planirostris,Molossidae
Cynomops tonkigui,Molossidae
Eumops auripendulus,Molossidae
Eumops dabbenei,Molossidae
Eumops delticus,Molossidae
Eumops glaucinus,Molossidae
Eumops hansae,Molossidae
Eumops nanus,Molossidae
Eumops perotis,Molossidae
Eumops trumbulli,Molossidae
Molossops griseiventer,Molossidae
Molossops neglectus,Molossidae
Molossops temmincki,Molossidae
Molossus bondae,Molossidae
Molossus coibensis,Molossidae
Molossus molossus,Molossidae
Molossus pretiosus,Molossidae
Molossus rufus,Molossidae
Molossus sinaloae,Molossidae
Neoplatymops mattogrossensis,Molossidae
Nyctinomops aurispinosus,Molossidae
Nyctinomops laticaudatus,Molossidae
Nyctinomops macrotis,Molossidae
Promops centralis,Molossidae
Promops nasutus,Molossidae
Tadarida brasiliensis,Molossidae
Mormoops megalophylla,Mormoopidae
Pteronotus davyi,Mormoopidae
Pteronotus fuscus,Mormoopidae
Pteronotus gymnonotus,Mormoopidae
Pteronotus personatus,Mormoopidae
Pteronotus rubiginosus,Mormoopidae
Chilonatalus micropus,Natalidae
Natalus mexicanus,Natalidae
Natalus tumidirostris,Natalidae
Noctilio albiventris,Noctilionidae
Noctilio leporinus,Noctilionidae
Ametrida centurio,Phyllostomidae
Anoura aequatoris,Phyllostomidae
Anoura cadenai,Phyllostomidae
Anoura caudifer,Phyllostomidae
Anoura cultrata,Phyllostomidae
Anoura fistulata,Phyllostomidae
Anoura geoffroyi,Phyllostomidae
Anoura latidens,Phyllostomidae
Anoura luismanueli,Phyllostomidae
Anoura peruana,Phyllostomidae
Artibeus aequatorialis,Phyllostomidae
Artibeus amplus,Phyllostomidae
Artibeus concolor,Phyllostomidae
Artibeus jamaicensis,Phyllostomidae
Artibeus lituratus,Phyllostomidae
Artibeus obscurus,Phyllostomidae
Artibeus planirostris,Phyllostomidae
Carollia brevicauda,Phyllostomidae
Carollia castanea,Phyllostomidae
Carollia monohernandezi,Phyllostomidae
Carollia perspicillata,Phyllostomidae
Centurio senex,Phyllostomidae
Chiroderma gorgasi,Phyllostomidae
Chiroderma salvini,Phyllostomidae
Chiroderma trinitatum,Phyllostomidae
Chiroderma villosum,Phyllostomidae
Choeroniscus godmani,Phyllostomidae
Choeroniscus minor,Phyllostomidae
Choeroniscus periosus,Phyllostomidae
Chrotopterus auritus,Phyllostomidae
Dermanura anderseni,Phyllostomidae
Dermanura bogotensis,Phyllostomidae
Dermanura glauca,Phyllostomidae
Dermanura gnoma,Phyllostomidae
Dermanura phaeotis,Phyllostomidae
Dermanura rava,Phyllostomidae
Dermanura rosenbergi,Phyllostomidae
Desmodus rotundus,Phyllostomidae
Diaemus youngii,Phyllostomidae
Diphylla ecaudata,Phyllostomidae
Enchisthenes hartii,Phyllostomidae
Gardnerycteris crenulata,Phyllostomidae
Gardnerycteris keenani,Phyllostomidae
Gardnerycteris koepckeae,Phyllostomidae
Glossophaga bakeri,Phyllostomidae
Glossophaga commissarisi,Phyllostomidae
Glossophaga longirostris,Phyllostomidae
Glossophaga soricina,Phyllostomidae
Glyphonycteris daviesi,Phyllostomidae
Glyphonycteris sylvestris,Phyllostomidae
Hsunycteris cadenai,Phyllostomidae
Hsunycteris pattoni,Phyllostomidae
Hsunycteris thomasi,Phyllostomidae
Lampronycteris brachyotis,Phyllostomidae
Leptonycteris curasoae,Phyllostomidae
Lichonycteris degener,Phyllostomidae
Lichonycteris obscura,Phyllostomidae
Lionycteris spurrelli,Phyllostomidae
Lonchophylla chocoana,Phyllostomidae
Lonchophylla concava,Phyllostomidae
Lonchophylla fornicata,Phyllostomidae
Lonchophylla handleyi,Phyllostomidae
Lonchophylla orienticollina,Phyllostomidae
Lonchophylla robusta,Phyllostomidae
Lonchorhina aurita,Phyllostomidae
Lonchorhina mankomara,Phyllostomidae
Lonchorhina marinkellei,Phyllostomidae
Lonchorhina orinocensis,Phyllostomidae
Lophostoma brasiliense,Phyllostomidae
Lophostoma carrikeri,Phyllostomidae
Lophostoma nicaraguae,Phyllostomidae
Lophostoma occidentalis,Phyllostomidae
Lophostoma silvicola,Phyllostomidae
Macrophyllum macrophyllum,Phyllostomidae
Mesophylla macconnelli,Phyllostomidae
Micronycteris hirsuta,Phyllostomidae
Micronycteris megalotis,Phyllostomidae
Micronycteris microtis,Phyllostomidae
Micronycteris minuta,Phyllostomidae
Micronycteris schmidtorum,Phyllostomidae
Mimon bennettii,Phyllostomidae
Mimon cozumelae,Phyllostomidae
Phylloderma stenops,Phyllostomidae
Phyllostomus discolor,Phyllostomidae
Phyllostomus elongatus,Phyllostomidae
Phyllostomus hastatus,Phyllostomidae
Phyllostomus latifolius,Phyllostomidae
Platyrrhinus albericoi,Phyllostomidae
Platyrrhinus angustirostris,Phyllostomidae
Platyrrhinus brachycephalus,Phyllostomidae
Platyrrhinus chocoensis,Phyllostomidae
Platyrrhinus dorsalis,Phyllostomidae
Platyrrhinus helleri,Phyllostomidae
Platyrrhinus incarum,Phyllostomidae
Platyrrhinus infuscus,Phyllostomidae
Platyrrhinus ismaeli,Phyllostomidae
Platyrrhinus nigellus,Phyllostomidae
Platyrrhinus nitelinea,Phyllostomidae
Platyrrhinus umbratus,Phyllostomidae
Platyrrhinus vittatus,Phyllostomidae
Rhinophylla alethina,Phyllostomidae
Rhinophylla fischerae,Phyllostomidae
Rhinophylla pumilio,Phyllostomidae
Sphaeronycteris toxophyllum,Phyllostomidae
Sturnira aratathomasi,Phyllostomidae
Sturnira bakeri,Phyllostomidae
Sturnira bidens,Phyllostomidae
Sturnira bogotensis,Phyllostomidae
Sturnira erythromos,Phyllostomidae
Sturnira giannae,Phyllostomidae
Sturnira koopmanhilli,Phyllostomidae
Sturnira ludovici,Phyllostomidae
Sturnira luisi,Phyllostomidae
Sturnira magna,Phyllostomidae
Sturnira mistratensis,Phyllostomidae
Sturnira parvidens,Phyllostomidae
Sturnira tildae,Phyllostomidae
Tonatia bakeri,Phyllostomidae
Tonatia maresi,Phyllostomidae
Trachops cirrhosus,Phyllostomidae
Trinycteris nicefori,Phyllostomidae
Uroderma bakeri,Phyllostomidae
Uroderma bilobatum,Phyllostomidae
Uroderma convexum,Phyllostomidae
Uroderma magnirostrum,Phyllostomidae
Vampyressa melissa,Phyllostomidae
Vampyressa sinchi,Phyllostomidae
Vampyressa thyone,Phyllostomidae
Vampyressa voragine,Phyllostomidae
Vampyriscus bidens,Phyllostomidae
Vampyriscus brocki,Phyllostomidae
Vampyriscus nymphaea,Phyllostomidae
Vampyrodes caraccioli,Phyllostomidae
Vampyrodes major,Phyllostomidae
Vampyrum spectrum,Phyllostomidae
Thyroptera devivoi,Thyropteridae
Thyroptera discifera,Thyropteridae
Thyroptera lavali,Thyropteridae
Thyroptera tricolor,Thyropteridae
Eptesicus miradorensis,Vespertilionidae
Histiotus cadenai,Vespertilionidae
Histiotus colombiae,Vespertilionidae
Histiotus humboldti,Vespertilionidae
