sci_name,family
Balionycteris maculata,Pteropodidae
Chironax melanocephalus,Pteropodidae
Cynopterus brachyotis,Pteropodidae
Cynopterus horsfieldii,Pteropodidae
Cynopterus minutus,Pteropodidae
Cynopterus sphinx,Pteropodidae
Emballonura monticola,Emballonuridae
Eonycteris spelaea,Pteropodidae
Glischropus aquilus,Rhinolophidae
Hipposideros ater,Hipposideridae
Hipposideros bicolor,Hipposideridae
Hipposideros cervinus,Hipposideridae
Hipposideros diadema,Hipposideridae
Hipposideros doriae,Hipposideridae
Hipposideros larvatus,Hipposideridae
Kerivoula hardwickii,Rhinolophidae
Kerivoula krauensis,Rhinolophidae
Kerivoula minuta,Rhinolophidae
Kerivoula papillosa,Rhinolophidae
Macroglossus sobrinus,Pteropodidae
Megaderma spasma,Megadermatidae
Megaerops ecaudatus,Pteropodidae
Miniopterus australis,Miniopteridae
Miniopterus fuliginosus,Miniopteridae
Miniopterus magnater,Miniopteridae
Miniopterus paululus,Miniopteridae
Miniopterus pusillus,Miniopteridae
Mosia nigrescens,Emballonuridae
Murina florium,Vespertilionidae
Murina peninsularis,Rhinolophidae
Murina rozendaali,Rhinolophidae
Murina suilla,Rhinolophidae
Myotis horsfieldii,Rhinolophidae
Myotis muricola,Rhinolophidae
Nycteris tragata,Nycteridae
Phoniscus atrox,Rhinolophidae
Pipistrellus stenopterus,Rhinolophidae
Rhinolophus acuminatus,Rhinolophidae
Rhinolophus affinis,Rhinolophidae
Rhinolophus borneensis,Rhinolophidae
Rhinolophus canuti,
Rhinolophus cf.,Rhinolophidae
Rhinolophus lepidus,
Rhinolophus luctus,Rhinolophidae
Rhinolophus pusillus,Rhinolophidae
Rhinolophus stheno,Rhinolophidae
Rhinolophus trifoliatus,Rhinolophidae
Rousettus amplexicaudatus,Pteropodidae
Rousettus leschenaultii,Pteropodidae
Tylonycteris pachypus,Rhinolophidae
Tylonycteris robustula,Rhinolophidae
