sci_name,family
Coelops frithii,Hipposideridae
Glischropus tylopus,Vespertilionidae
Hipposideros armiger,Hipposideridae
Hipposideros ater,Hipposideridae
Hipposideros bicolor,Hipposideridae
Hipposideros cervinus,Hipposideridae
Hipposideros cineraceus,Hipposideridae
Hipposideros diadema,Hipposideridae
Hipposideros dyacorum,Hipposideridae
Hipposideros galeritus,Hipposideridae
Hipposideros kunzi,Hipposideridae
Hipposideros larvatus,Hipposideridae
Hipposideros lekaguli,Hipposideridae
Kerivoula hardwickii,Vespertilionidae
Kerivoula intermedia,Vespertilionidae
Kerivoula minuta,Vespertilionidae
Kerivoula papillosa,Vespertilionidae
Kerivoula pellucida,Vespertilionidae
Megaderma spasma,Megadermatidae
Miniopterus australis,Miniopteridae
Murina aenea,Vespertilionidae
Murina peninsularis,Vespertilionidae
Murina rozendaali,Vespertilionidae
Murina suilla,Vespertilionidae
Myotis horsfieldii,Vespertilionidae
Myotis muricola,Vespertilionidae
Myotis ridleyi,Vespertilionidae
Nycteris tragata,Nycteridae
Phoniscus atrox,Vespertilionidae
Phoniscus jagorii,Vespertilionidae
Rhinolophus affinis,Rhinolophidae
Rhinolophus borneensis,Rhinolophidae
Rhinolophus chiewkweeae,Rhinolophidae
Rhinolophus coelophyllus,Rhinolophidae
Rhinolophus creaghi,Rhinolophidae
Rhinolophus dohrni,Rhinolophidae
Rhinolophus lepidus,Rhinolophidae
Rhinolophus malayanus,Rhinolophidae
Rhinolophus philippinensis,Rhinolophidae
Rhinolophus pusillus,Rhinolophidae
Rhinolophus refulgens,Rhinolophidae
Rhinolophus stheno,Rhinolophidae
Rhinolophus trifoliatus,Rhinolophidae
Taphozous melanopogon,Emballonuridae
Tylonycteris pachypus,Vespertilionidae
