sci_name,family
Barbastella darjelingensis,Vespertilionidae
Harpiola isodon,Vespertilionidae
Hipposideros armiger,Hipposideridae
Kerivoula furva,Vespertilionidae
Miniopterus fuliginosus,Miniopteridae
Murina bicolor,Vespertilionidae
Murina puta,Vespertilionidae
Murina recondita,Vespertilionidae
Myotis frater,Vespertilionidae
Myotis rufoniger,Vespertilionidae
Myotis secundus,Vespertilionidae
Pipistrellus abramus,Vespertilionidae
Plecotus taivanus,Vespertilionidae
Rhinolophus formosae,Rhinolophidae
Rhinolophus monoceros,Rhinolophidae
Scotophilus kuhlii,Vespertilionidae
Submyotodon latirostris,Vespertilionidae
