sci_name,family
Arielulus circumdatus,Vespertilionidae
Aselliscus dongbacanus,Hipposideridae
Aselliscus stoliczkanus,Hipposideridae
Coelops frithii,Hipposideridae
Eudiscopus denticulus,Vespertilionidae
Glischropus bucephalus,Vespertilionidae
Harpiocephalus harpia,Vespertilionidae
Hipposideros alongensis alongensis,Hipposideridae
Hipposideros alongensis sungi,Hipposideridae
Hipposideros armiger,Hipposideridae
Hipposideros cineraceus,Hipposideridae
Hipposideros galeritus,Hipposideridae
Hipposideros gentilis,Hipposideridae
Hipposideros grandis,Hipposideridae
Hipposideros grandis/poutensis,Hipposideridae
Hipposideros griffini,Hipposideridae
Hipposideros khaokhouayensis,Hipposideridae
Hipposideros lylei,Hipposideridae
Hipposideros poutensis,Hipposideridae
Hipposideros pratti,Hipposideridae
Hipposideros scutinares,Hipposideridae
Hypsugo cadornae,Vespertilionidae
Hypsugo pulveratus,Vespertilionidae
Ia io,Vespertilionidae
Kerivoula cf. hardwickii,Vespertilionidae
Kerivoula depressa,Vespertilionidae
Kerivoula dongduongana,Vespertilionidae
Kerivoula furva,Vespertilionidae
Kerivoula kachinensis,Vespertilionidae
Kerivoula titania,Vespertilionidae
Lyroderma lyra,Megadermatidae
Megaderma spasma,Megadermatidae
Miniopterus fuliginosus,Miniopteridae
Miniopterus magnater,Miniopteridae
Miniopterus pusillus,Miniopteridae
Mirostrellus joffrei,Vespertilionidae
Mops plicatus,Molossidae
Murina annamitica,Vespertilionidae
Murina beelzebub,Vespertilionidae
Murina cyclotis,Vespertilionidae
Murina eleryi,Vespertilionidae
Murina feae,Vespertilionidae
Murina fionae,Vespertilionidae
Murina harrisoni,Vespertilionidae
Murina huttoni,Vespertilionidae
Myotis altarium,Vespertilionidae
Myotis alticraniatus,Vespertilionidae
Myotis annectans,Vespertilionidae
Myotis ater,Vespertilionidae
Myotis chinensis,Vespertilionidae
Myotis formosus,Vespertilionidae
Myotis horsfieldii,Vespertilionidae
Myotis laniger,Vespertilionidae
Myotis montivagus,Vespertilionidae
Myotis muricola,Vespertilionidae
Myotis pilosus,Vespertilionidae
Myotis sicarius,Vespertilionidae
Nyctalus plancyi,Vespertilionidae
Phoniscus jagorii,Vespertilionidae
Pipistrellus abramus,Vespertilionidae
Pipistrellus coromandra,Vespertilionidae
Pipistrellus javanicus,Vespertilionidae
Pipistrellus tenuis,Vespertilionidae
Plecotus homochrous,Vespertilionidae
Rhinolophus acuminatus,Rhinolophidae
Rhinolophus affinis,Rhinolophidae
Rhinolophus chaseni,Rhinolophidae
Rhinolophus episcopus,Rhinolophidae
Rhinolophus lepidus,Rhinolophidae
Rhinolophus malayanus,Rhinolophidae
Rhinolophus marshalli,Rhinolophidae
Rhinolophus microglobosus,Rhinolophidae
Rhinolophus pearsonii,Rhinolophidae
Rhinolophus perniger,Rhinolophidae
Rhinolophus pusillus,Rhinolophidae
Rhinolophus rex,Rhinolophidae
Rhinolophus shameli,Rhinolophidae
Rhinolophus siamensis,Rhinolophidae
Rhinolophus sinicus,Rhinolophidae
Rhinolophus stheno,Rhinolophidae
Rhinolophus thomasi,Rhinolophidae
Rousettus leschenaultii,Pteropodidae
Scotomanes ornatus,Vespertilionidae
Scotophilus heathii,Vespertilionidae
Scotophilus kuhlii,Vespertilionidae
Taphozous longimanus,Emballonuridae
Taphozous melanopogon,Emballonuridae
Taphozous theobaldi,Emballonuridae
Thainycteris aureocollaris,Vespertilionidae
Tylonycteris fulvida,Vespertilionidae
