observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,bandwidth,mean,4.7,,,kHz,sd,1.0,4.7 ± 1.0,ok,
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,duration,mean,1.7,,,ms,sd,0.4,1.7 ± 0.4,ok,
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,emission,single,oral,,,,,,emitted through the mouth,ok,Paper's central finding: the two alternating types leave by different routes.
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,end_frequency,mean,31.2,,,kHz,sd,0.8,31.2 ± 0.8,ok,Printed as 'terminal frequency'.
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,peak_frequency,mean,33.6,,,kHz,sd,1.1,33.6 ± 1.1,ok,
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,signal_type,single,FM,,,,,,FM,ok,Short downward FM sweep.
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,source_level,mean,80.9,,,dB_SPL,sd,7.5,80.9 ± 7.5,ok,"Absolute source level, dB SPL rms re 20 uPa at 1 m. Apparent source level reported separately as 79.9 ± 5.1."
sei2015-bb-t1,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 1 column",seibert-2015-array,search,type_1,"Type 1 (oral, directed downward)",downward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,86,start_frequency,mean,35.9,,,kHz,sd,1.3,35.9 ± 1.3,ok,
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,bandwidth,mean,9.2,,,kHz,sd,1.9,9.2 ± 1.9,ok,
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,Abstract and Results,seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,beam_separation_angle,approximate,70,,,degrees,,,approximately 70 degrees,ok,"Angle between the beam axis of this type-2 call and that of the alternating type-1 call. The paper's central finding: the two signals are aimed in different directions, up through the nose and down through the mouth. Vertical angles of up to 88 degrees were measured with the chain array."
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,duration,mean,2.5,,,ms,sd,0.4,2.5 ± 0.4,ok,
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,emission,single,nasal,,,,,,emitted through the nose,ok,Beam directed upward; angle between type 1 and type 2 beams approximately 70 degrees.
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,end_frequency,mean,35.1,,,kHz,sd,1.9,35.1 ± 1.9,ok,Printed as 'terminal frequency'.
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,peak_frequency,mean,40.1,,,kHz,sd,1.2,40.1 ± 1.2,ok,
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,signal_type,single,FM,,,,,,FM,ok,Broader and longer downward FM sweep than type 1.
sei2015-bb-t2,1005649,Barbastella barbastellus,exact,seibert-2015,"Table 1, type 2 column",seibert-2015-array,search,type_2,"Type 2 (nasal, directed upward)",upward,free_flying_wild,edge,France,"near Bourges, Central France",2009-06-29/2010-06-05,,110,source_level,mean,82.0,,,dB_SPL,sd,4.1,82.0 ± 4.1,ok,"Absolute source level, dB SPL rms re 20 uPa at 1 m. Apparent source level reported separately as 82.4 ± 3.6."
