observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
srinivasulu2025-Ar_circ_1,1005508,Arielulus circumdatus,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ar_circ_1",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,1,duration,species_summary,9.1,,,ms,,,9.1,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this call_duration_ms.
srinivasulu2025-Ar_circ_1,1005508,Arielulus circumdatus,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ar_circ_1",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,1,max_frequency,species_summary,44.8,,,kHz,,,44.8,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this maximum_frequency_kHz.
srinivasulu2025-Ar_circ_1,1005508,Arielulus circumdatus,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ar_circ_1",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,1,min_frequency,species_summary,26.8,,,kHz,,,26.8,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this minimum_frequency_kHz.
srinivasulu2025-Ar_circ_1,1005508,Arielulus circumdatus,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ar_circ_1",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,1,peak_frequency,species_summary,28.9,,,kHz,,,28.9,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this FmaxE (frequency of maximum energy).
srinivasulu2025-Ba_darj_1,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_1",srinivasulu-2025-southasia-d500x,unspecified,,,,hand_release,clutter,India,Tamil Nadu,,,15,duration,species_summary,4.37,,,ms,,,4.37,definition_unstated,Review Supplementary Material 3 attributes this observation to Wordley et al. 2014. The table labels this call_duration_ms.
srinivasulu2025-Ba_darj_1,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_1",srinivasulu-2025-southasia-d500x,unspecified,,,,hand_release,clutter,India,Tamil Nadu,,,15,max_frequency,species_summary,36.46,,,kHz,,,36.46,definition_unstated,Review Supplementary Material 3 attributes this observation to Wordley et al. 2014. The table labels this maximum_frequency_kHz.
srinivasulu2025-Ba_darj_1,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_1",srinivasulu-2025-southasia-d500x,unspecified,,,,hand_release,clutter,India,Tamil Nadu,,,15,min_frequency,species_summary,20.84,,,kHz,,,20.84,definition_unstated,Review Supplementary Material 3 attributes this observation to Wordley et al. 2014. The table labels this minimum_frequency_kHz.
srinivasulu2025-Ba_darj_1,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_1",srinivasulu-2025-southasia-d500x,unspecified,,,,hand_release,clutter,India,Tamil Nadu,,,15,peak_frequency,species_summary,29.23,,,kHz,,,29.23,definition_unstated,Review Supplementary Material 3 attributes this observation to Wordley et al. 2014. The table labels this FmaxE (frequency of maximum energy).
srinivasulu2025-Ba_darj_2,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_2",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,3,duration,species_summary,2.1,,,ms,,,2.1,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this call_duration_ms.
srinivasulu2025-Ba_darj_2,1005652,Barbastella darjelingensis,exact,srinivasulu-2025-southasia,"Supplementary Material 3, observation Ba_darj_2",srinivasulu-2025-southasia-anabat-walkabout,unspecified,,,,hand_release,open,India,Uttarakhand,,,3,max_frequency,species_summary,37.3,,,kHz,,,37.3,definition_unstated,Review Supplementary Material 3 attributes this observation to Chakravarty et al. 2020. The table labels this maximum_frequency_kHz.
