observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-034e358f1f1988,1005562,Lasionycteris noctivagans,exact,szewczak-eastern-2022,supplied worksheet record BAT01564 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,max_frequency,mean,41.7,,,kHz,,,,41.7 26-63 (33-51),definition_unstated,Imported from MASTER_call_records.csv record BAT01564; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-042f8663335ab6,1005575,Lasiurus borealis,exact,szewczak-eastern-2022,supplied worksheet record BAT01598 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,US/CA,,,,,signal_type,single,FM,,,,,,,U-shaped FM with upturned end,ok,Imported from MASTER_call_records.csv record BAT01598; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_structure] | ƒc varies randomly across a sequence - randomness itself is diagnostic. Possibly acoustically indistinguishable from L. seminolus.
mst-05c3b350a3fc46,1005413,Myotis grisescens,exact,szewczak-eastern-2022,supplied worksheet record BAT01505 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,min_frequency,mean,41.8,,,kHz,,,,41.8 37-46 (40-44),definition_unstated,Imported from MASTER_call_records.csv record BAT01505; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-09646781f5e0f0,1005470,Myotis septentrionalis,exact,szewczak-eastern-2022,supplied worksheet record BAT01521 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,peak_frequency,mean,51.3,,,kHz,,,,51.3 37-95 (41-62),definition_unstated,Imported from MASTER_call_records.csv record BAT01521; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-0c71da159055c0,1005371,Myotis austroriparius,exact,szewczak-eastern-2022,supplied worksheet record BAT01514 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,max_frequency,mean,84.3,,,kHz,,,,84.3 66-116 (73-95),definition_unstated,Imported from MASTER_call_records.csv record BAT01514; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-23940835a59fff,1005413,Myotis grisescens,exact,szewczak-eastern-2022,supplied worksheet record BAT01503 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,characteristic_frequency,mean,45.7,,,kHz,,,,45.7 41-51 (44-47),definition_unstated,Imported from MASTER_call_records.csv record BAT01503; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-26dfd06ed744d8,1005587,Lasiurus seminolus,exact,szewczak-eastern-2022,supplied worksheet record BAT01538 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,characteristic_frequency,mean,40.4,,,kHz,,,,40.4 33-49 (36-44),definition_unstated,Imported from MASTER_call_records.csv record BAT01538; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-27317dd542b7e9,1005181,Eumops floridanus,exact,szewczak-eastern-2022,supplied worksheet record BAT01589 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,max_frequency,mean,16,,,kHz,,,,16.0 8.1-22 (12-20),definition_unstated,Imported from MASTER_call_records.csv record BAT01589; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-27b475ca886444,1005575,Lasiurus borealis,exact,szewczak-eastern-2022,supplied worksheet record BAT01535 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,min_frequency,mean,40.2,,,kHz,,,,40.2 28-48 (37-43),definition_unstated,Imported from MASTER_call_records.csv record BAT01535; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-29e8d0a5565b26,1005584,Lasiurus intermedius,exact,szewczak-eastern-2022,supplied worksheet record BAT01556 (northamerica),szewczak-eastern-2022-library,search,,,,free_flying_wild,,"US/CA | SonoBat eastern North America library, ~42,000 species-known calls",,,,,peak_frequency,mean,29.4,,,kHz,,,,29.4 25-41 (27-32),definition_unstated,Imported from MASTER_call_records.csv record BAT01556; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
