observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-040650d48d759d,1005404,Myotis evotis,exact,szewczak-western-2024,supplied worksheet record BAT01433 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,characteristic_frequency,mean,36,,,kHz,,,,36.0 30-43 (34-38),definition_unstated,Imported from MASTER_call_records.csv record BAT01433; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-04070de242afde,1005562,Lasionycteris noctivagans,exact,szewczak-western-2024,supplied worksheet record BAT01461 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,peak_frequency,mean,30.1,,,kHz,,,,30.1 23-47 (27-33),definition_unstated,Imported from MASTER_call_records.csv record BAT01461; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-04bd4dc4eecca1,1005595,Parastrellus hesperus,exact,szewczak-western-2024,supplied worksheet record BAT01392 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,duration,mean,5.2,,,ms,,,,5.2 2.8-11 (4.2-6.2),definition_unstated,Imported from MASTER_call_records.csv record BAT01392; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-0ae56b9f9dae62,1005519,Eptesicus fuscus,exact,szewczak-western-2024,supplied worksheet record BAT01447 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,duration,mean,7.9,,,ms,,,,7.9 2.3-15 (5.5-10),definition_unstated,Imported from MASTER_call_records.csv record BAT01447; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-0bd1ee86b0aac2,1005562,Lasionycteris noctivagans,exact,szewczak-western-2024,supplied worksheet record BAT01459 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,max_frequency,mean,45.9,,,kHz,,,,45.9 27-62 (39-53),definition_unstated,Imported from MASTER_call_records.csv record BAT01459; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-0c9a8c56471978,1005481,Myotis velifer,exact,szewczak-western-2024,supplied worksheet record BAT01422 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,duration,mean,5.1,,,ms,,,,5.1 (3.9-6.3),definition_unstated,Imported from MASTER_call_records.csv record BAT01422; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library. SUSPECTED SOURCE OR PDF-EXTRACTION ERROR - value inconsistent with its own range. Verify against the published PDF before use.
mst-11c7cf36b0f97a,1005389,Myotis ciliolabrum,exact,szewczak-western-2024,supplied worksheet record BAT01408 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,characteristic_frequency,mean,42.7,,,kHz,,,,42.7 38-48 (41-45),definition_unstated,Imported from MASTER_call_records.csv record BAT01408; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-186e9dc9c9fd3b,1005370,Myotis auriculus,exact,szewczak-western-2024,supplied worksheet record BAT01428 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,characteristic_frequency,mean,40.6,,,kHz,,,,40.6 31-54 (36-45),definition_unstated,Imported from MASTER_call_records.csv record BAT01428; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-1a3ff167fc0e57,1005591,Lasiurus xanthinus,exact,szewczak-western-2024,supplied worksheet record BAT01440 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,min_frequency,mean,32.9,,,kHz,,,,32.9 22-39 (31-35),definition_unstated,Imported from MASTER_call_records.csv record BAT01440; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
mst-1ea86a13514d6c,1005659,Idionycteris phyllotis,exact,szewczak-western-2024,supplied worksheet record BAT01486 (northamerica),szewczak-western-2024-library,search,,,,free_flying_wild,,"US/CA | SonoBat western North America library, ~200,000 species-known calls",,,,,peak_frequency,mean,16.5,,,kHz,,,,16.5 11-24 (13-20),definition_unstated,Imported from MASTER_call_records.csv record BAT01486; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Mean of the subset of calls with the most species-discriminating characteristics; dispersion is the +/-1 SD interval given in the source; value_min/max are the total observed range across the whole species-known library.
