observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-016358bfb7f707,1004848,Amorphochilus schnablii,exact,ugarte-nunez-2020,supplied worksheet record BAT01800 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,591,min_frequency,mean,78.75,,,kHz,sd,4.46,,78.75 +/- 4.46,ok,"Imported from MASTER_call_records.csv record BAT01800; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-0251e490a0d09b,1005202,Molossus molossus,exact,ugarte-nunez-2020,supplied worksheet record BAT01838 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,80,inter_pulse_interval,mean,97.9,,,ms,sd,47.33,,97.9 +/- 47.33,ok,"Imported from MASTER_call_records.csv record BAT01838; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-03aabe24be4fe8,1004913,Glossophaga soricina,exact,ugarte-nunez-2020,supplied worksheet record BAT01786 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,123,inter_pulse_interval,mean,30.23,,,ms,sd,19.46,,30.23 +/- 19.46,ok,"Imported from MASTER_call_records.csv record BAT01786; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-03cb61a8bada19,1005559,Histiotus montanus,exact,ugarte-nunez-2020,supplied worksheet record BAT01805 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,302,peak_frequency,mean,31.36,,,kHz,sd,2.29,,31.36 +/- 2.29,ok,"Imported from MASTER_call_records.csv record BAT01805; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. TAXONOMY FLAG: Ugarte-Nunez 2020 uses the genus Histiotus (following the Cladio et al. 2023 Neoeptesicus/Histiotus split used elsewhere in this project). Pacheco et al. 2021, the authoritative Peru checklist fetched for this batch, instead places this species as Eptesicus montanus - a direct disagreement between two Peruvian sources published within a year of each other, not a project-side error. Matched to Eptesicus montanus in the coverage audit on the basis of shared authorship '(Philippi & Landbeck, 1861)' and identical species epithet. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals). Two call variants noted in the key text: ~32 kHz hawking flying insects in open air, and a distinct <20 kHz variant used for gleaning perched invertebrates near vegetation - only the open-air variant is in this quantitative table. Call type: FMd."
mst-06c3f2bdd9f58c,1005262,Tadarida brasiliensis,exact,ugarte-nunez-2020,supplied worksheet record BAT01857 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,421,inter_pulse_interval,mean,230.87,,,ms,sd,95.43,,230.87 +/- 95.43,ok,"Imported from MASTER_call_records.csv record BAT01857; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-070fc1a9fd7ca8,1005367,Myotis atacamensis,exact,ugarte-nunez-2020,supplied worksheet record BAT01819 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,3100,max_frequency,mean,90.09,,,kHz,sd,11.88,,90.09 +/- 11.88,ok,"Imported from MASTER_call_records.csv record BAT01819; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-0745de9f89c0ce,1004942,Platalina genovensium,exact,ugarte-nunez-2020,supplied worksheet record BAT01789 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,447,max_frequency,mean,116.12,,,kHz,sd,2.92,,116.12 +/- 2.92,ok,"Imported from MASTER_call_records.csv record BAT01789; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-088ad91eb35ef9,1005559,Histiotus montanus,exact,ugarte-nunez-2020,supplied worksheet record BAT01810 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,302,inter_pulse_interval,mean,132.1,,,ms,sd,17.63,,132.1 +/- 17.63,ok,"Imported from MASTER_call_records.csv record BAT01810; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. TAXONOMY FLAG: Ugarte-Nunez 2020 uses the genus Histiotus (following the Cladio et al. 2023 Neoeptesicus/Histiotus split used elsewhere in this project). Pacheco et al. 2021, the authoritative Peru checklist fetched for this batch, instead places this species as Eptesicus montanus - a direct disagreement between two Peruvian sources published within a year of each other, not a project-side error. Matched to Eptesicus montanus in the coverage audit on the basis of shared authorship '(Philippi & Landbeck, 1861)' and identical species epithet. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-08dea621af7b60,1005237,Nyctinomops macrotis,exact,ugarte-nunez-2020,supplied worksheet record BAT01850 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,92,inter_pulse_interval,mean,514.12,,,ms,sd,151.36,,514.12 +/- 151.36,ok,"Imported from MASTER_call_records.csv record BAT01850; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals)."
mst-0ddb27f751be85,1004942,Platalina genovensium,exact,ugarte-nunez-2020,supplied worksheet record BAT01787 (peru),ugarte-nunez-2020-unstated,unspecified,,,,free_flying_wild,,SW Peru (Arequipa/Moquegua/Tacna),,,,447,peak_frequency,mean,84.97,,,kHz,sd,2.79,,84.97 +/- 2.79,ok,"Imported from MASTER_call_records.csv record BAT01787; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Ugarte-Nunez 2020, Ciencia & Desarrollo 27:37-48 (SciELO Preprints, full text fetched). Search-phase calls, southwest Peru (Arequipa, Moquegua, Tacna departments), coastal desert and western Andean slopes. Table 1: mean +/- SD, n = number of pulses measured (not individuals). Nectarivore, restricted-range/threatened species. n=447 pulses is the largest phyllostomid sample here. Call type: FMd/a."
