observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-07e9867d75cbd2,1005395,Myotis daubentonii,exact,van-de-sijpe-2011,supplied worksheet record BAT01023 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,37,,,kHz,,,,37,definition_unstated,"Imported from MASTER_call_records.csv record BAT01023; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | MEDIAN, for calls of 8-14 ms duration."
mst-178725b53b08b2,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT01028 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,signal_type,single,FM,,,,,,,FM with quasi-CF mid-section,ok,Imported from MASTER_call_records.csv record BAT01028; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_structure] | The QCF section in the middle of the signal was found ONLY in this species among the three European trawling Myotis - the most useful diagnostic feature.
mst-270b077d521814,1005395,Myotis daubentonii,exact,van-de-sijpe-2011,supplied worksheet record BAT00876 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,end_frequency,species_summary,26,,,kHz,,,,26,definition_unstated,"Imported from MASTER_call_records.csv record BAT00876; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Median, 1-4 ms calls."
mst-3c334b4f76e4c0,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT00880 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,signal_type,single,FM,,,,,,,FM with quasi-CF mid-section,ok,Imported from MASTER_call_records.csv record BAT00880; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. The QCF section in the middle of the signal was found ONLY in this species among the three European trawling Myotis - the most useful diagnostic feature.
mst-47bfa83a142535,1005384,Myotis capaccinii,exact,van-de-sijpe-2011,supplied worksheet record BAT01138 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,ES,,,,,end_frequency,species_summary,32,,,kHz,,,,32,definition_unstated,"Imported from MASTER_call_records.csv record BAT01138; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Median, 1-4 ms calls. Significantly higher than M. daubentonii (26) and M. dasycneme (25) - the main separator among the three trawling Myotis."
mst-57fb11419972a1,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT00881 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,41,,,kHz,,,,41,definition_unstated,"Imported from MASTER_call_records.csv record BAT00881; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Median, 1-4 ms calls."
mst-5e5e7f76424598,1005395,Myotis daubentonii,exact,van-de-sijpe-2011,supplied worksheet record BAT01022 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,49,,,kHz,,,,49,definition_unstated,"Imported from MASTER_call_records.csv record BAT01022; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | MEDIAN, for calls of 1-4 ms duration. Peak frequency in this species is duration-dependent; a single value is not meaningful."
mst-6373766dc58a9a,1005395,Myotis daubentonii,exact,van-de-sijpe-2011,supplied worksheet record BAT00875 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,37,,,kHz,,,,37,definition_unstated,"Imported from MASTER_call_records.csv record BAT00875; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. MEDIAN, for calls of 8-14 ms duration."
mst-6a3278e4aca48f,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT01031 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,end_frequency,species_summary,25,,,kHz,,,,25,definition_unstated,"Imported from MASTER_call_records.csv record BAT01031; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Median, 1-4 ms calls."
mst-6d744ad2eaab18,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT01029 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,41,,,kHz,,,,41,definition_unstated,"Imported from MASTER_call_records.csv record BAT01029; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Median, 1-4 ms calls."
mst-7e01adffb62523,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT00883 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,end_frequency,species_summary,25,,,kHz,,,,25,definition_unstated,"Imported from MASTER_call_records.csv record BAT00883; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Median, 1-4 ms calls."
mst-8676e50ee90689,1005384,Myotis capaccinii,exact,van-de-sijpe-2011,supplied worksheet record BAT01137 (europe),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,ES,,,,,peak_frequency,species_summary,45,,,kHz,,,,45,definition_unstated,"Imported from MASTER_call_records.csv record BAT01137; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] | Median, 1-4 ms calls."
mst-958306cdd09edc,1005395,Myotis daubentonii,exact,van-de-sijpe-2011,supplied worksheet record BAT00874 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,49,,,kHz,,,,49,definition_unstated,"Imported from MASTER_call_records.csv record BAT00874; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. MEDIAN, for calls of 1-4 ms duration. Peak frequency in this species is duration-dependent; a single value is not meaningful."
mst-b012344998dacc,1005394,Myotis dasycneme,exact,van-de-sijpe-2011,supplied worksheet record BAT00882 (denmark),van-de-sijpe-2011-unstated,search,,,,free_flying_wild,,BE/NL,,,,,peak_frequency,species_summary,35,,,kHz,,,,35,definition_unstated,"Imported from MASTER_call_records.csv record BAT00882; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. Median, calls >14 ms."
