observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
webala-2019-doryrhina-camerunensis-female,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,duration,range,,24.5,27.7,ms,,,24.5–27.7,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-doryrhina-camerunensis-female,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,duty_cycle,range,,23,35,percent,,,23–35,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-doryrhina-camerunensis-female,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,peak_frequency,mean,50.8,,,kHz,,,50.8,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-doryrhina-camerunensis-male,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,duration,range,,23.1,27.1,ms,,,23.1–27.1,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-doryrhina-camerunensis-male,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,duty_cycle,range,,37,49,percent,,,37–49,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-doryrhina-camerunensis-male,1004566,Doryrhina camerunensis,exact,webala-2019,"Table 2, Doryrhina camerunensis, Kakamega forest, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,forest,Kenya,Kakamega forest,,1,3,peak_frequency,mean,51.1,,,kHz,,,51.1,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-cage,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, flight-cage female",webala-2019-full-spectrum,unspecified,female flight cage,female flight cage,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,3,duration,range,,7.6,8.4,ms,,,7.6–8.4,ok,"Table reports a range of sequence means from a flight cage; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-cage,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, flight-cage female",webala-2019-full-spectrum,unspecified,female flight cage,female flight cage,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,3,duty_cycle,range,,23,47,percent,,,23–47,ok,"Table reports a range of sequence means from a flight cage; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-cage,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, flight-cage female",webala-2019-full-spectrum,unspecified,female flight cage,female flight cage,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,3,peak_frequency,mean,82.5,,,kHz,,,82.5,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-cage,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, flight-cage male",webala-2019-full-spectrum,unspecified,male flight cage,male flight cage,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,4,duration,range,,8.2,10,ms,,,8.2–10.0,ok,"Table reports a range of sequence means from a flight cage; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
