observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,duration,mean,6.8,,,ms,sd,1.3,6.8 ± 1.3,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,inter_pulse_interval,mean,78.9,,,ms,sd,26.5,78.9 ± 26.5,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,start_frequency,mean,77.2,,,kHz,sd,2.0,77.2 ± 2.0,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,end_frequency,mean,66.2,,,kHz,sd,2.0,66.2 ± 2.0,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,peak_frequency,mean,68.0,,,kHz,sd,4.0,68.0 ± 4.0,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,max_frequency,mean,78.5,,,kHz,sd,2.0,78.5 ± 2.0,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-search,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,search,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,132,min_frequency,mean,65.3,,,kHz,sd,1.7,65.3 ± 1.7,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 132/22 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-approach,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,approach,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,117,duration,mean,6.5,,,ms,sd,1.5,6.5 ± 1.5,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 117/16 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-approach,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,approach,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,117,inter_pulse_interval,mean,56.8,,,ms,sd,10.9,56.8 ± 10.9,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 117/16 sequences. The paper states that all values are from the second harmonic.
yanten-2023-personatus-approach,1004862,Pteronotus personatus,exact,yanten-2023,"Appendix 1, Vichada (Colombia) row",yanten-2023-field,approach,,,downward,free_flying_wild,,Colombia,"Puerto Carreño, Vichada: Reserva Forestal La Pedregoza and Caño Negro farm",February 2018; November 2020,,117,start_frequency,mean,78.4,,,kHz,sd,2.3,78.4 ± 2.3,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Appendix 1; cached raw SHA-256 10dad00af4fd7ebdc2216aa8c67431c41d471b397ffa016727b25c3d21dfc43a. n/N in the source is 117/16 sequences. The paper states that all values are from the second harmonic.
