observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-0122d897a061c4,1004980,Phyllostomus discolor,exact,yoh-2020,supplied worksheet record BAT02062 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,5,50,start_frequency,species_summary,47,,,kHz,,,2,47 45-50,definition_unstated,Imported from MASTER_call_records.csv record BAT02062; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Insectivore]
mst-0144a2e2b8c847,1004988,Chrotopterus auritus,exact,yoh-2020,supplied worksheet record BAT02106 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,4,40,duration,species_summary,2.2,,,ms,,,3,2.2 1.4-2.9,definition_unstated,Imported from MASTER_call_records.csv record BAT02106; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Insectivore/carnivore]
mst-01addde01d0318,1004988,Chrotopterus auritus,exact,yoh-2020,supplied worksheet record BAT02100 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,4,25,duration,species_summary,1.1,,,ms,,,2,1.1 0.8-1.4,definition_unstated,Imported from MASTER_call_records.csv record BAT02100; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Insectivore/carnivore]
mst-02dc189a22168c,1005031,Mesophylla macconnelli,exact,yoh-2020,supplied worksheet record BAT02293 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,1,9,peak_frequency,species_summary,101,,,kHz,,,1,101 94-106,definition_unstated,"Imported from MASTER_call_records.csv record BAT02293; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore] | Harmonic 1 of 2 measured. Range in brackets = min-max across pulses, not +/-SD (source gives both; SD in dispersion_value where retrievable)."
mst-0315dcac4a732d,1004873,Carollia brevicauda,exact,yoh-2020,supplied worksheet record BAT02174 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,4,40,max_frequency,species_summary,118,,,kHz,,,3,118,definition_unstated,Imported from MASTER_call_records.csv record BAT02174; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore]
mst-032161d25764ee,1005081,Sturnira lilium,exact,yoh-2020,supplied worksheet record BAT02290 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,1,10,start_frequency,species_summary,78,,,kHz,,,2,78 72-84,definition_unstated,Imported from MASTER_call_records.csv record BAT02290; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore]
mst-049f77f38b6e9d,1005031,Mesophylla macconnelli,exact,yoh-2020,supplied worksheet record BAT02295 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,1,9,min_frequency,species_summary,81,,,kHz,,,1,81,definition_unstated,Imported from MASTER_call_records.csv record BAT02295; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore]
mst-05070f5d43d736,1005027,Chiroderma trinitatum,exact,yoh-2020,supplied worksheet record BAT02318 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,2,20,max_frequency,species_summary,138,,,kHz,,,3,138,definition_unstated,Imported from MASTER_call_records.csv record BAT02318; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore]
mst-05c936c5fc1c99,1004982,Phyllostomus hastatus,exact,yoh-2020,supplied worksheet record BAT02092 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,3,30,start_frequency,species_summary,54,,,kHz,,,3,54 51-58,definition_unstated,Imported from MASTER_call_records.csv record BAT02092; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Insectivore]
mst-05d0c2c11696e9,1005093,Sturnira tildae,exact,yoh-2020,supplied worksheet record BAT02286 (southamerica_amazon_phyllostomid),yoh-2020-release,unspecified,,,,hand_release,,"BR | Central Brazilian Amazon (BDFFP, ~80km N of Manaus)",,,5,47,duration,species_summary,2,,,ms,,,3,2.0 1.7-2.4,definition_unstated,Imported from MASTER_call_records.csv record BAT02286; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. [trait_class=call_parameter] [dietary_guild=Frugivore]
